#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
6803r01	178	210	220	14562	17183	330	149	90
6803r02	0	0	0	0	0	0	0	0
6803r03	0	0	0	0	0	0	0	0
6803r03_5'UTR	0	0	0	0	0	0	0	0
6803r04	0	0	0	0	0	0	0	0
6803r05	0	0	0	0	0	0	0	0
6803r06	105	120	125	4466	5553	185	73	61
6803t01	79	49	63	50	62	79	61	74
6803t01_5'UTR	0	0	0	0	1	0	0	0
6803t02	47	23	56	55	57	25	28	36
6803t02_5'UTR	0	0	0	0	0	0	0	0
6803t03	34	17	35	53	64	10	29	18
6803t03_5'UTR	0	0	1	0	0	0	0	0
6803t04	29	9	29	23	33	6	7	12
6803t04_5'UTR	0	0	0	0	0	0	0	0
6803t05	57	53	80	66	58	68	52	33
6803t05_5'UTR	0	0	1	0	3	0	3	0
6803t06	193	118	173	117	129	161	157	96
6803t07	101	79	108	95	133	61	78	89
6803t07_5'UTR	0	0	0	0	1	0	1	0
6803t08	79	42	53	44	54	40	50	43
6803t09	143	180	222	132	155	123	144	136
6803t09_5'UTR	132	132	161	107	92	174	87	87
6803t10	325	257	320	235	308	285	353	230
6803t10_5'UTR	0	0	0	0	0	0	0	0
6803t11	69	83	53	50	58	54	46	34
6803t11_3'UTR	38	41	59	15	23	36	33	16
6803t12	106	89	79	60	87	102	74	49
6803t12_5'UTR	0	0	0	0	0	0	0	0
6803t13	536	476	544	423	633	300	365	390
6803t13_3'UTR	149	167	175	239	250	182	136	102
6803t14	146	170	205	116	69	671	185	97
6803t14_5'UTR	13	36	30	21	13	20	11	8
6803t15	521	288	433	253	359	151	286	283
6803t15_5'UTR	3	5	8	2	7	1	1	0
6803t16	8	7	2	6	7	9	3	0
6803t16_5'UTR	0	0	1	0	0	0	0	0
6803t17	197	151	198	104	134	120	122	92
6803t17_5'UTR	0	3	3	0	1	2	0	0
6803t18	7	7	4	8	6	12	10	4
6803t18_5'UTR	2	0	1	2	3	0	0	1
6803t19	110	65	114	71	99	40	84	56
6803t19_5'UTR	5	3	3	0	2	3	2	1
6803t20	2014	1553	2194	1226	1601	1273	1508	1105
6803t20_5'UTR	0	1	0	0	0	0	0	0
6803t21	770	469	535	407	573	347	546	480
6803t21_5'UTR	2	9	7	4	3	5	1	0
6803t22	187	200	183	123	197	243	153	126
6803t22_5'UTR	0	0	0	0	0	0	0	0
6803t23	54	41	73	48	53	118	62	38
6803t23_5'UTR	0	2	3	0	0	0	0	1
6803t24	118	133	101	93	121	256	114	92
6803t24_5'UTR	0	0	0	0	0	0	0	0
6803t25	28	22	14	16	21	24	9	17
6803t25_5'UTR	0	0	0	0	0	0	0	0
6803t26	120	101	152	104	197	137	128	99
6803t26_5'UTR	3	0	1	0	4	0	0	0
6803t27	105	74	86	98	80	81	68	56
6803t27_5'UTR	1	1	0	6	0	0	5	1
6803t28	28	40	20	26	122	41	15	23
6803t28_5'UTR	0	0	0	0	0	0	0	0
6803t29	0	0	0	0	0	0	0	0
6803t30	110	97	102	102	145	92	86	61
6803t30_5'UTR	1	1	0	0	0	0	0	0
6803t31	282	163	258	298	522	142	195	121
6803t31_5'UTR	7	26	14	15	5	18	13	3
6803t32	256	146	189	168	250	94	178	119
6803t32_5'UTR	0	0	0	0	0	0	0	0
6803t33	91	58	90	35	48	170	98	41
6803t33_5'UTR	0	0	0	0	0	0	0	0
6803t34	0	0	0	0	0	0	0	0
6803t35	206	133	166	253	280	112	118	117
6803t35_5'UTR	0	0	0	0	0	0	0	0
6803t36	19	14	19	15	79	66	21	11
6803t36_5'UTR	0	0	0	0	0	0	0	0
6803t37	0	0	0	0	0	0	0	0
6803t38	101	56	69	50	93	97	54	42
6803t38_5'UTR	1	0	0	0	1	3	1	0
6803t39	231	165	169	147	177	157	146	130
6803t40	0	0	0	0	0	0	0	0
6803t41	102	87	115	99	92	84	99	71
6803t41_5'UTR	2	1	3	6	7	4	2	6
6803t42	38	3	44	38	52	30	32	30
6803t42_5'UTR	0	0	0	0	0	0	0	0
CRISPR1	3349	3263	3250	2940	3922	583	997	1190
CRISPR2	282	511	284	82	135	117	165	74
CRISPR3	49092	46400	36619	30658	38937	4318	7551	6821
NC-2306445	151	88	95	83	138	63	116	81
NC-3547510	18	7	24	15	18	2	9	9
Norf1	3291	3143	2183	1577	2116	1792	3722	2587
Norf1_3'UTR	411	444	248	196	199	306	474	343
Norf1_5'UTR	16021	13769	8469	5986	7777	3642	16848	12197
Norf2	107	101	117	104	105	91	109	70
Norf2_5'UTR	7	2	8	10	10	10	9	13
Norf3	126	138	132	99	141	113	109	70
Norf3_5'UTR	0	0	0	0	1	0	0	0
Norf4	159	101	187	97	107	164	193	159
Norf4_3'UTR	117	104	136	101	111	182	112	77
Norf4_5'UTR	54	37	39	47	52	72	68	41
Norf5	225	171	200	200	194	196	244	154
Norf5_5'UTR	0	0	0	0	0	0	0	0
Norf6	626	389	487	516	655	285	426	457
Norf6_5'UTR	3	3	3	8	7	9	11	3
Norf7	258	312	300	175	220	250	275	203
Norf7_5'UTR	5	5	14	7	5	2	1	3
Norf8	55	65	66	48	29	90	40	36
ncl0020	889	1012	1406	772	740	50	45	31
ncl0030	93	82	112	64	104	58	104	98
ncl0040	798	466	671	524	853	173	460	376
ncl0050	47	20	41	27	41	25	29	10
ncl0060	31	47	56	38	61	40	29	38
ncl0070	8176	5942	5056	5265	6711	2438	5232	5373
ncl0080	44	23	34	45	48	5	9	26
ncl0100	36	47	53	31	21	77	41	27
ncl0110	30	27	25	44	52	31	20	21
ncl0120	0	0	2	1	1	1	3	0
ncl0130	6	5	2	11	3	2	4	5
ncl0140	58	31	51	30	41	12	44	23
ncl0150	1193	828	1040	822	1074	515	1076	894
ncl0160	5756	13023	15504	3255	3077	38044	12312	4882
ncl0170	1599	1183	884	447	544	951	1634	1103
ncl0180	34	20	15	22	35	10	6	11
ncl0190	25	7	20	22	16	10	22	25
ncl0200	128	109	126	76	72	188	85	83
ncl0210	1	2	0	0	1	0	0	0
ncl0215	527	281	532	339	613	179	277	335
ncl0230	53	55	81	33	39	35	23	36
ncl0240	17	11	4	8	6	13	4	5
ncl0250	5	3	12	2	11	5	6	8
ncl0260	306	224	393	270	375	188	181	200
ncl0270	738	896	772	522	589	909	794	570
ncl0280	676	557	869	481	534	764	525	417
ncl0290	6	9	10	4	5	25	9	2
ncl0300	14	8	9	9	13	3	7	12
ncl0310	73	52	74	56	42	42	48	42
ncl0320	694	364	523	558	758	242	439	341
ncl0330	74	58	56	61	42	27	44	28
ncl0350	60	79	127	39	34	90	80	94
ncl0360	0	0	0	0	0	0	0	0
ncl0370	93	47	73	82	101	72	100	82
ncl0380	10405	8079	10065	7581	10053	4544	5812	5128
ncl0390	11	29	20	5	8	31	15	10
ncl0400	2642	1560	2189	1914	1824	717	1379	1424
ncl0410	107	76	122	112	130	72	126	94
ncl0420	0	5	4	3	4	3	1	1
ncl0430	29	51	52	53	28	33	51	33
ncl0440	75	60	88	60	75	48	96	95
ncl0460	69	31	34	45	40	17	51	35
ncl0490	1019	779	798	720	841	984	1930	1611
ncl0500	67	44	105	65	61	51	69	59
ncl0520	19	15	19	11	24	16	10	5
ncl0530	47	54	84	108	117	63	40	43
ncl0540	20	12	4	16	16	25	26	22
ncl0550	0	0	0	0	0	0	0	0
ncl0560	1709	1315	1398	1997	2382	1379	3496	3028
ncl0570	20	29	20	144	200	20	27	55
ncl0580	167	152	95	88	136	58	130	121
ncl0590	1706	865	1594	1821	2042	694	1406	1280
ncl0600	22	8	9	21	7	2	7	7
ncl0610	70	122	89	62	47	77	73	44
ncl0620	12	8	10	5	17	14	7	2
ncl0640	130	83	87	69	83	64	65	65
ncl0650	35	21	34	28	46	24	26	47
ncl0660	55	35	40	82	52	21	26	32
ncl0680	11	10	9	16	13	8	8	4
ncl0690	1087	813	1139	519	591	879	891	652
ncl0700	96	68	88	83	87	45	51	41
ncl0710	331	177	249	694	843	136	118	213
ncl0720	866	1031	1321	921	1681	1271	1291	1058
ncl0730	66	71	85	73	102	18	39	44
ncl0740	43	26	45	16	38	6	28	38
ncl0750	5	9	5	12	13	0	13	2
ncl0760	0	0	2	2	1	0	1	1
ncl0770	4	2	8	7	4	10	3	4
ncl0780	7	9	16	13	11	10	9	12
ncl0790	236	240	102	125	186	76	58	74
ncl0800	93	58	72	47	52	42	132	79
ncl0810	23	16	21	16	16	10	36	20
ncl0820	25585	27429	29325	14919	15780	23655	20012	16881
ncl0830	609	712	701	637	627	512	554	399
ncl0840	23	12	18	27	23	3	5	16
ncl0845	5	2	5	2	5	0	0	2
ncl0850	1266	684	1377	1222	1404	610	1300	1356
ncl0860	197	141	215	179	200	104	231	166
ncl0870	63	57	55	39	60	46	48	35
ncl0880	138	161	201	138	120	149	238	174
ncl0900	166	121	148	102	148	141	154	95
ncl0910	11	8	5	7	10	21	2	1
ncl0920	136	96	198	189	192	108	106	92
ncl0930	6	4	1	4	5	1	0	4
ncl0940	1	2	10	1	5	10	6	3
ncl0950	7	7	14	16	10	7	3	5
ncl0980	196	173	205	166	177	199	204	148
ncl0990	3	6	2	4	1	3	4	4
ncl1010	81	130	85	46	58	121	114	84
ncl1020	1947	2027	1713	1320	1442	1524	1241	1085
ncl1040	0	0	8	1	0	0	0	1
ncl1045	293	196	293	319	386	195	299	225
ncl1050	290	285	301	247	329	140	197	253
ncl1060	26	25	27	11	25	8	9	23
ncl1080	41	40	51	28	38	35	29	11
ncl1090	0	0	0	0	0	0	0	0
ncl1100	60	48	68	51	57	51	27	41
ncl1110	97	144	81	54	76	90	176	126
ncl1120	3032	2205	1466	1445	2515	712	2704	2559
ncl1130	277	203	226	229	327	189	225	231
ncl1150	3	4	1	2	2	4	0	1
ncl1160	63	33	58	38	45	25	41	48
ncl1170	298	143	263	233	261	246	237	341
ncl1180	51	13	33	64	109	36	21	35
ncl1190	81	151	125	94	113	277	178	122
ncl1200	12	21	5	4	4	12	11	13
ncl1210	32	34	58	51	74	27	26	41
ncl1220	564	379	681	564	769	263	309	457
ncl1230	221	248	231	143	114	289	165	128
ncl1255	332	192	244	230	240	114	210	230
ncl1260	0	0	0	0	0	0	0	0
ncl1270	87	98	98	74	100	46	95	79
ncl1280	13	26	13	7	20	42	19	22
ncl1290	68	29	52	37	67	6	57	42
ncl1300	169	114	114	141	190	117	183	170
ncl1310	142	131	189	88	87	162	123	76
ncl1320	15	11	5	10	21	7	17	18
ncl1330	183	160	103	181	161	173	251	326
ncl1340	93	73	66	45	79	54	62	66
ncl1350	3576	3513	2337	2073	3036	2121	5686	3400
ncl1370	16	15	12	23	11	13	14	12
ncl1380	21	10	15	17	27	10	15	16
ncl1390	218	169	192	299	219	215	101	191
ncl1400	10	1	6	1	4	2	1	0
ncl1410	280	149	295	331	305	156	142	148
ncl1440	0	1	3	0	0	3	1	0
ncl1450	726	680	501	396	540	388	439	427
ncl1460	224	188	216	172	179	116	142	109
ncl1470	535	252	284	448	826	204	294	467
ncl1480	735	388	550	602	715	277	660	532
ncl1490	197	470	360	162	201	692	533	330
ncl1500	620	628	512	508	574	669	1043	964
ncl1510	2	2	2	3	1	2	1	1
ncl1520	29	33	23	24	17	6	31	23
ncl1530	102	63	29	29	45	8	58	64
ncl1560	0	0	0	0	0	0	0	0
ncl1570	109	196	249	71	107	449	228	171
ncl1580	56	48	61	69	125	36	65	51
ncl1590	42	37	27	34	48	60	44	27
ncl1600	1	4	4	7	10	9	0	0
ncl1610	275	165	224	178	351	78	146	169
ncl1620	103	92	116	78	97	101	115	79
ncl1630	397	309	514	318	386	350	381	317
ncl1640	45	32	42	41	54	26	47	38
ncl1650	10	10	11	11	9	6	9	5
ncl1670	0	0	0	0	0	0	0	0
ncl1680	961332	551429	879130	812201	1006192	573345	842830	725082
ncl1690	19	30	21	9	18	9	15	17
ncl1700	5	3	10	121	148	4	6	4
ncl1710	80	43	81	72	109	25	69	48
ncl1720	116	105	138	119	146	126	62	82
ncl1725	413	504	674	298	447	281	613	347
ncl1730	0	0	1	1	0	0	0	0
ncl1740	15	15	20	16	22	5	13	10
ncl1750	5	1	8	6	8	0	3	1
ncl1780	304	233	328	294	368	235	242	170
ncl1790	331	297	282	329	343	257	369	317
ncl1800	13	13	25	23	25	25	5	6
ncr0020	6850	5393	6530	6033	6005	711	872	713
ncr0030	33	25	38	15	21	9	26	23
ncr0040	2	2	1	3	6	2	2	6
ncr0050	278	181	260	257	307	102	186	192
ncr0060	214	97	170	154	194	60	122	133
ncr0070	140	113	119	127	165	139	163	119
ncr0075	1092377	626178	1182970	695061	676765	803072	1043411	849864
ncr0080	853	554	655	672	748	423	617	631
ncr0090	14	10	24	19	19	5	12	5
ncr0100	81	91	94	73	86	61	82	66
ncr0130	0	0	0	0	4	1	1	0
ncr0140	11	5	26	0	9	10	7	9
ncr0150	697	476	550	443	535	340	383	393
ncr0170	4	8	3	2	3	3	6	0
ncr0180	5	2	0	3	2	0	1	2
ncr0190	364	274	326	269	350	145	417	239
ncr0200	2525	2468	2442	2572	2873	3166	2761	2382
ncr0210	181	126	127	127	165	121	290	237
ncr0220	21	74	78	41	48	94	60	16
ncr0240	548	411	532	428	487	303	449	486
ncr0250	171	95	167	112	205	81	194	206
ncr0270	234	164	156	189	216	133	129	136
ncr0280	72	60	33	36	26	60	84	61
ncr0290	269	134	248	99	130	128	171	197
ncr0300	132	154	158	80	124	107	113	93
ncr0310	68	56	29	77	119	48	47	62
ncr0320	18	12	10	14	19	6	19	15
ncr0330	226	109	126	115	184	93	160	174
ncr0340	184	91	155	171	221	91	139	117
ncr0350	10	18	7	29	28	5	12	14
ncr0360	7	4	7	2	8	0	2	4
ncr0370	0	1	3	0	0	11	1	2
ncr0380	22585	15312	21756	29120	40167	14028	25857	27102
ncr0390	14	17	21	13	21	1	3	5
ncr0400	109	59	85	99	112	25	48	66
ncr0410	4	1	9	9	7	4	2	1
ncr0420	0	0	0	0	0	0	0	0
ncr0430	7	1	1	8	4	6	4	6
ncr0440	11	10	5	14	4	6	10	3
ncr0450	75	122	79	55	46	115	63	24
ncr0460	60	37	50	37	38	50	74	70
ncr0470	43	62	37	35	33	49	34	46
ncr0480	115	59	60	63	82	60	152	121
ncr0490	11	15	22	23	22	10	17	9
ncr0500	5	10	18	7	5	3	2	4
ncr0510	0	0	0	0	0	0	0	0
ncr0520	26	37	32	21	18	60	81	50
ncr0530	40	25	32	24	31	31	22	27
ncr0540	376	218	467	369	429	197	347	309
ncr0550	5	4	0	7	6	0	1	6
ncr0560	292	384	440	230	260	791	467	294
ncr0570	13815	7995	9459	12214	15650	4048	8663	10364
ncr0575	44	53	32	40	43	49	41	55
ncr0580	84	46	64	81	113	36	57	48
ncr0590	59	33	51	37	45	28	20	33
ncr0610	2	1	2	2	2	0	0	0
ncr0620	18	18	24	21	23	6	10	11
ncr0630	610	336	413	537	643	307	403	428
ncr0640	187	225	241	161	144	175	202	140
ncr0650	4	6	2	5	1	10	1	0
ncr0670	373	213	307	347	316	84	264	232
ncr0680	43	41	65	52	62	46	32	12
ncr0690	36	69	85	58	65	94	33	42
ncr0700	306328	493190	158273	78306	137449	676065	376035	290255
ncr0710	344	575	216	127	193	262	258	255
ncr0720	1093	739	1133	856	981	333	614	532
ncr0730	290	335	422	212	211	372	384	194
ncr0740	12	16	27	15	19	39	15	9
ncr0760	75	60	55	101	194	58	49	94
ncr0770	86	70	101	61	106	52	68	84
ncr0780	90	48	58	44	70	41	78	59
ncr0790	4	0	5	4	4	0	7	1
ncr0800	237	218	234	150	189	226	231	165
ncr0810	383	336	347	297	334	590	237	233
ncr0820	28	10	26	22	25	9	16	16
ncr0830	278	208	279	246	293	152	215	205
ncr0840	0	0	0	0	0	0	0	0
ncr0850	430	243	389	342	547	78	226	234
ncr0860	20	7	14	23	36	15	11	22
ncr0870	64678	44830	57318	35812	63106	80640	100933	67487
ncr0880	11	15	8	15	12	11	1	8
ncr0890	204	123	177	251	312	80	139	143
ncr0900	79	50	53	30	52	29	118	82
ncr0910	95	50	91	105	112	46	44	54
ncr0920	2167	1383	1619	1631	2357	974	1476	1099
ncr0930	26	11	35	20	22	15	38	14
ncr0940	3	2	2	2	3	6	2	4
ncr0950	0	1	0	0	1	1	4	0
ncr0960	0	0	0	0	0	0	0	0
ncr0970	202	157	175	168	169	120	166	140
ncr0980	201	151	179	164	193	114	147	138
ncr1010	29	37	61	18	13	32	36	31
ncr1020	117	141	147	115	117	100	87	76
ncr1030	27	36	35	36	49	27	41	30
ncr1050	0	0	0	0	0	0	0	0
ncr1060	46	28	37	48	38	11	20	29
ncr1070	0	0	0	0	0	0	0	0
