#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
TU1	16	17	20	25	24	12	9	14
TU10	45	56	47	67	66	54	36	36
TU100	144	186	129	132	165	155	106	102
TU1000	265	87	351	611	479	106	119	111
TU1001	0	5	0	1	0	0	0	4
TU1002	11806	13424	15054	9761	11131	13004	11036	11445
TU1003	258	220	316	292	280	168	193	187
TU1004	636	461	539	412	526	336	497	428
TU1005	61	76	63	42	53	82	52	25
TU1006	390	419	508	456	410	477	286	269
TU1007	284	226	256	202	254	115	224	167
TU1008	1381	1869	1672	1321	1537	1628	1143	927
TU1009	1044	671	1028	750	773	492	512	547
TU101	4	5	4	6	10	0	2	5
TU1010	740	731	916	552	755	660	586	504
TU1011	52	38	69	40	57	34	34	36
TU1012	34	41	47	22	43	9	22	9
TU1013	366	333	385	289	427	277	240	229
TU1014	1108	1146	1209	1065	1028	674	611	655
TU1015	1174	958	1140	965	1175	744	716	734
TU1016	294	270	405	332	477	244	212	181
TU1017	7	6	14	14	16	3	0	6
TU1018	344	238	288	283	326	156	133	172
TU1019	81	61	100	107	120	27	57	50
TU102	78	113	118	75	75	92	68	75
TU1020	46	27	35	28	52	16	26	22
TU1021	24	9	23	20	23	8	8	18
TU1022	184	80	156	163	148	75	106	119
TU1023	2651	2325	4412	4205	3881	4099	4046	3115
TU1024	61	48	63	44	44	27	67	45
TU1025	16	14	29	28	24	10	29	24
TU1026	143	148	213	172	265	121	88	84
TU1027	418	248	437	336	403	263	328	300
TU1028	51	54	54	66	62	57	58	41
TU1029	213	199	277	269	303	226	189	177
TU103	335	341	398	258	281	383	282	262
TU1030	2446	1912	2968	2281	2396	1979	1426	1251
TU1031	1509	1883	1738	1455	1555	2049	1281	1070
TU1032	109	98	121	96	107	126	96	65
TU1033	1295	1225	1555	1188	1466	836	928	886
TU1034	1091	610	1088	820	931	356	648	583
TU1035	4010	4064	3845	4039	4813	3399	3576	3397
TU1036	534	499	622	600	728	385	392	330
TU1037	811	766	1058	650	723	698	504	670
TU1038	257	291	297	164	223	272	394	232
TU1039	53	31	41	36	41	32	24	16
TU104	475	379	534	444	437	281	282	250
TU1040	50	29	49	35	57	16	23	18
TU1041	3075	2262	3854	3835	4673	2332	1825	1811
TU1042	741	651	642	521	627	468	490	498
TU1043	1661	1202	2090	1664	2080	971	1173	997
TU1044	77	57	91	75	71	33	66	40
TU1045	190	110	168	162	149	93	121	82
TU1046	46	25	45	35	50	29	30	20
TU1047	505	471	534	563	535	398	282	292
TU1048	192	238	252	164	215	273	132	121
TU1049	357	257	384	366	443	248	211	198
TU105	1098	836	1104	1016	1178	732	744	707
TU1050	180	230	259	182	249	164	141	107
TU1051	768	604	818	753	869	545	489	478
TU1052	186	225	251	168	194	241	155	131
TU1053	400	360	437	380	482	296	291	260
