rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU87	11268.41800475835	2.581615086032743	0.1268407425486554	20.353200668487492	4.349281717901007e-92	1.6087993074515824e-88
TU88	633.2191229293438	4.096447832907279	0.22481557290187018	18.22137043280066	3.4929640237861308e-74	6.460236961992449e-71
TU7089	503.65615633918276	2.8327110824167305	0.1706664689985147	16.597935722461003	7.212916985660027e-62	8.893526643318814e-59
TU7087	1689.6319280444038	2.1841689258053454	0.17276072616971766	12.642739899458684	1.2270236541446875e-36	1.1346901241702997e-33
TU1141	3142.8705255263126	-1.0858561571154774	0.10229196569430435	-10.615263376211944	2.530796993432994e-26	1.8722836157417287e-23
TU7088	380.8138352959967	2.627090896775549	0.24805368867956207	10.590815684943303	3.28714868595223e-26	2.02652716488955e-23
TU7075	1588.7397352912667	1.5938625864966574	0.1648249023672901	9.670035071186932	4.0423952647848003e-22	2.136117154919854e-19
TU441	3708.3566558550488	1.8282894860468475	0.20403024958090246	8.960874624239926	3.221131395909794e-19	1.489370629183791e-16
TU2231	4820.957127204848	-0.961581984274886	0.11061744833334736	-8.692859930895748	3.534279967732479e-18	1.3073301600642439e-15
TU7046	939.1380654503536	1.363205556319792	0.15671251915206538	8.69876614641751	3.355121296285869e-18	1.3073301600642439e-15
TU1144	5347.994141973057	-1.5933117943855652	0.19138737738253922	-8.325062060915869	8.428457273262904e-17	2.834260313981771e-14
TU1295	1801.9658009698278	-1.1874697424154388	0.14418966136062322	-8.23547077654574	1.7885290407423717e-16	5.5131407680883606e-14
TU7069	1245.6540090130998	1.0007701454178572	0.12248455567696928	8.17058232269876	3.0690443861667246e-16	8.732611680331319e-14
TU1840	271.9136832781807	-1.3352279665709472	0.16848170145340274	-7.925062217752076	2.280321289226779e-15	6.024934606321326e-13
TU1227	5377.422997659634	-0.8195004434905665	0.10592658252927004	-7.73649469210544	1.0219524802737022e-14	2.5201348163549497e-12
TU8020	312.0877334383056	-1.3295400844237781	0.17950564652654047	-7.40667555673354	1.2950477059936813e-13	2.993988415294142e-11
TU627	22791.97224280016	1.9235970546397279	0.2614408752665862	7.357675239873157	1.8714065163181116e-13	4.071960414035703e-11
TU7012	445.4278892793209	1.3268777576211546	0.18224811924513615	7.280611526291876	3.323103309851678e-13	6.828977301745198e-11
