"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042651","GO:0042651","thylakoid membrane","58/724","96/2593",1.17946727284672e-11,2.04047838202482e-09,1.6140078470534e-09,"slr1311/sll0223/sll1327/sll1326/sll1324/sll1323/ssl2615/sll1322/slr1291/smr0005/slr1604/ssr3451/slr1034/slr1390/sll1814/ssl3335/slr1834/slr1835/sll1463/sll1281/ssl2501/sml0007/sll1697/sll0851/sll0849/slr0261/slr1513/slr1329/slr1330/sml0008/ssr1386/slr0823/sll1262/sll1867/slr1279/slr1280/slr1281/ssr2831/slr1645/sll0258/slr1949/ssl0563/slr0331/sml0001/smr0001/slr0342/slr0343/sll0199/slr0228/sll0689/slr0906/ssl1690/slr0083/slr0927/sll0522/sll0520/sll0519/smr0004",58
"GO:0018298","GO:0018298","protein-chromophore linkage","22/724","31/2593",6.80358516455051e-07,4.42410499358629e-05,3.49944416894565e-05,"slr1311/sll0928/slr0687/sll1578/sll1577/sll1124/slr1834/slr1835/slr0854/sll0851/sll0849/slr2067/slr1986/slr1963/slr1969/sll1867/slr0335/slr0473/slr0906/sll0041/slr0927/slr1459",22
"GO:0003735","GO:0003735","structural constituent of ribosome","33/724","56/2593",8.88606274228997e-07,4.42410499358629e-05,3.49944416894565e-05,"ssr1604/ssl1784/ssr1736/sll1824/ssl3445/sll1821/sll1819/sll1816/sml0006/sll1813/sll1808/sll1803/sll1802/ssl2233/sll1746/sll1744/sll1740/slr1356/sll1767/sll1260/sll1244/slr1984/sll1101/sll1097/sll1096/ssr2799/sll0767/ssl1426/ssl0601/slr0469/slr0628/slr0923/ssr1398",33
"GO:0015979","GO:0015979","photosynthesis","45/724","86/2593",1.02291444938411e-06,4.42410499358629e-05,3.49944416894565e-05,"sll1214/sll1398/slr0737/sll1032/sll1031/sll1029/sll1028/sll1194/sll1184/sll0928/smr0005/slr1055/sll1638/ssr3451/slr2051/ssl3093/sll1580/sll1578/sll1577/slr1834/slr1835/sll1281/sml0007/slr2067/slr1986/ssr3383/sll1418/sml0008/sll0819/slr0823/slr1347/sll1091/ssr2831/sll0427/sll0258/slr0335/sml0001/slr0772/smr0001/slr0342/slr0436/slr0525/slr1459/sll1471/smr0004",45
"GO:0048038","GO:0048038","quinone binding","17/724","22/2593",1.95742083108897e-06,6.77267607556784e-05,5.3571517482435e-05,"sll0223/slr2007/sll1732/slr0261/ssr1386/sll1262/slr1279/slr1280/slr1281/slr0331/ssl1690/slr0565/slr0844/sll0522/sll0521/sll0520/sll0519",17
"GO:0006412","GO:0006412","translation","45/724","90/2593",5.19763825491844e-06,0.000136707608769609,0.000108135011500147,"ssr1604/ssl1784/ssr1736/sll1824/ssl3445/sll1821/sll1819/sll1816/sml0006/sll1813/sll1808/sll1803/sll1802/ssl2233/sll1746/sll1744/sll1740/slr1550/sll1362/slr1356/slr0877/sll1767/slr1720/sll1425/sll1260/sll1244/slr1984/sll1435/sll1101/sll1097/sll1096/ssr2799/sll1553/sll0145/sll0767/ssl1426/ssl0601/slr0469/slr0628/slr0638/slr0923/sll0546/ssr1398/slr1560/slr0604",45
"GO:0019684","GO:0019684","photosynthesis, light reaction","16/724","21/2593",5.5315217421229e-06,0.000136707608769609,0.000108135011500147,"slr1311/sll0223/ssr3451/sll0851/sll0849/slr0261/sll1867/slr1279/slr1280/slr1281/sll0258/slr0906/slr0927/sll0522/sll0520/sll0519",16
"GO:0005840","GO:0005840","ribosome","31/724","55/2593",7.0742666089738e-06,0.000152981015419058,0.000121007191995604,"ssr1604/ssl1784/sll1824/ssl3445/sll1821/sll1819/sll1816/sml0006/sll1813/sll1808/sll1803/sll1802/ssl2233/sll1746/sll1744/sll1740/slr1356/sll1767/sll1260/sll1244/slr1984/sll1101/sll1097/sll1096/ssr2799/sll0767/ssl1426/ssl0601/slr0628/slr0923/ssr1398",31
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II","19/724","28/2593",1.15501526084767e-05,0.00022201960014072,0.000175616355450524,"slr1311/sll1398/sll1194/sll1638/ssr3451/sll1281/sml0007/sll0851/sll0849/sll1414/sll1867/sll1390/slr1645/sll0427/sll0258/sml0001/smr0001/slr0906/slr0927",19
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","14/724","20/2593",0.000104908120255111,0.00181491048041341,0.00143558480349099,"sll0223/slr1291/slr2007/sll1733/sll1732/slr0261/slr1279/slr1280/slr1281/slr0331/slr0844/sll0522/sll0521/sll0520",14
