"","dWT1","dWT2","dWT3","WT1","WT2","WT3","TV1","TV2"
"6803r01",210.510840466863,178.90335639931,157.296826746643,118.171039795796,174.562866224058,373.837267383363,13899.8333346504,13786.1715028661
"6803r02",0,0,0,0,0,0,0,0
"6803r03",0,0,0,0,0,0,0,0
"6803r03_5'UTR",0,0,0,0,0,0,0,0
"6803r04",0,0,0,0,0,0,0,0
"6803r05",0,0,0,0,0,0,0,0
"6803r06",120.291908838207,101.64963431779,92.7874539797613,80.093704750484,85.5240888211826,209.575437775522,4491.98478189569,4228.06221204505
"6803t01",49.1191961089347,51.231415696166,69.8115129942966,97.1628549432101,71.4653344944129,89.4943761311688,50.1536208315384,47.3361197049379
"6803t01_5'UTR",0,0,0,0,0,0,0.808929368250619,0
"6803t02",23.0559491939897,45.5390361743697,41.533431781417,47.2684159183184,32.8037600957961,28.3210051048002,46.1089739902853,52.0697316754316
"6803t02_5'UTR",0,0,0,0,0,0,0,0
"6803t03",17.0413537520794,28.4618976089811,30.0454612886846,23.6342079591592,33.9753229563602,11.3284020419201,51.7714795680396,50.1762868872341
"6803t03_5'UTR",0,0.813197074542317,0,0,0,0,0,0
"6803t04",9.02189316286555,23.5827151617272,25.6270110991722,15.7561386394395,8.20094002394902,6.79704122515206,26.6946691522704,21.7746150642714
"6803t04_5'UTR",0,0,0,0,0,0,0,0
"6803t05",53.1289264035416,65.0557659633853,50.3703321604419,43.3293812584586,60.9212687493356,77.0331338850567,46.9179033585359,62.483678010518
"6803t05_5'UTR",0,0.813197074542317,0,0,3.51468858169244,0,2.42678810475186,0
"6803t06",118.287043690904,140.683093895821,170.55217731518,126.049109115516,183.935369108571,182.387272874914,104.35188850433,110.766520109555
"6803t07",79.1921733184865,87.8252840505702,89.2526938281514,116.858028242509,91.3819031240034,69.1032524557126,107.587605977332,89.9386274393819
"6803t07_5'UTR",0,0,0,0,1.17156286056415,0,0.808929368250619,0
"6803t08",42.1021680933726,43.0994449507428,69.8115129942966,56.4594967913248,58.5781430282073,45.3136081676804,43.6821858855334,41.6557853403453
"6803t09",180.437863257311,180.529750548394,126.367675420056,178.569571246981,168.705051921237,139.339345115617,125.384052078846,124.967356021036
"6803t09_5'UTR",132.321099722028,130.924729001313,116.647085003129,114.232005135936,101.925968869081,197.11419552941,74.4215018790569,101.299296168567
"6803t10",257.625171428494,260.223063853541,287.199262318309,301.992657255923,413.561689779143,322.859458194723,249.150245421191,222.479762613208
"6803t10_5'UTR",0,0,0,0,0,0,0,0
"6803t11",83.2019036130934,43.0994449507428,60.9746126152717,44.6423928117452,53.8918915859507,61.1733710263685,46.9179033585359,47.3361197049379
"6803t11_3'UTR",41.0997355197208,47.9786273979967,33.5802214402946,21.008184852586,38.6615743986168,40.7822473509124,18.6053754697642,14.2008359114814
"6803t12",89.2164990550038,64.242568888843,93.6711440176638,64.3375661110445,86.6956516817468,115.549700827585,70.3768550378038,56.8033436459254
"6803t12_5'UTR",0,0,0,0,0,0,0,0
"6803t13",477.157905058222,442.37920855102,473.657860315734,512.074505781783,427.620444105913,339.852061257603,512.052290102642,400.463572703774
"6803t13_3'UTR",167.406239799839,142.309488044905,131.669815647471,133.927178435236,159.332549036724,206.176917162946,202.232342062655,226.266652189603
"6803t14",170.413537520794,166.705400281175,129.018745533763,127.362120668802,216.739129204367,760.135777012839,55.8161264092927,109.819797715456
"6803t14_5'UTR",36.0875726514622,24.3959122362695,11.4879704927324,10.504092426293,12.8871914662056,22.6568040838402,10.516081787258,19.8811702760739
"6803t15",288.700581211698,352.114333276823,460.402509747197,371.582269580114,335.066978121346,171.058870832993,290.405643201972,239.520765706986
"6803t15_5'UTR",5.01216286825864,6.50557659633853,2.65107011370747,0,1.17156286056415,1.13284020419201,5.66250557775433,1.89344478819751
"6803t16",7.01702801556209,1.62639414908463,7.06952030321991,0,3.51468858169244,10.1955618377281,5.66250557775433,5.68033436459254
"6803t16_5'UTR",0,0.813197074542317,0,0,0,0,0,0
"6803t17",151.367318621411,161.013020759379,174.08693746679,120.797062902369,142.930668988826,135.940824503041,108.396535345583,98.4591289862708
"6803t17_5'UTR",3.00729772095518,2.43959122362695,0,0,0,2.26568040838402,0.808929368250619,0
"6803t18",7.01702801556209,3.25278829816927,6.18583026531742,5.25204621314649,11.7156286056415,13.5940824503041,4.85357620950371,7.57377915279006
"6803t18_5'UTR",0,0.813197074542317,1.76738007580498,1.31301155328662,0,0,2.42678810475186,1.89344478819751
"6803t19",65.1581172873623,92.7044664978241,97.2059041692738,73.5286469840509,98.4112802873882,45.3136081676804,80.0840074568112,67.2172899810118
"6803t19_5'UTR",3.00729772095518,2.43959122362695,4.41845018951244,1.31301155328662,2.34312572112829,3.39852061257603,1.61785873650124,0
"6803t20",1556.77778688113,1784.15438154584,1779.75173633561,1450.87776638172,1766.71679373073,1442.10557993643,1295.09591856924,1160.68165516508
"6803t20_5'UTR",1.00243257365173,0,0,0,0,0,0,0
"6803t21",470.14087704266,435.060434880139,680.441329184916,630.245545577579,639.673321868024,393.095550854627,463.516528007604,385.316014398194
"6803t21_5'UTR",9.02189316286555,5.69237952179622,1.76738007580498,0,1.17156286056415,5.66420102096005,2.42678810475186,3.78688957639503
"6803t22",200.486514730346,148.815064641244,165.250037087765,165.439455714114,179.249117666314,275.280169618658,159.359085545372,116.446854474147
"6803t22_5'UTR",0,0,0,0,0,0,0,0
"6803t23",41.0997355197208,59.3633864415891,47.7192620467344,49.8944390248917,72.636897354977,133.675144094657,42.8732565172828,45.4426749167403
"6803t23_5'UTR",2.00486514730346,2.43959122362695,0,1.31301155328662,0,0,0,0
"6803t24",133.32353229568,82.132904528774,104.275424472494,120.797062902369,133.558166104313,290.007092273155,97.8804535583249,88.0451826511844
"6803t24_5'UTR",0,0,0,0,0,0,0,0
"6803t25",22.053516620338,11.3847590435924,24.7433210612697,22.3211964058726,10.5440657450773,27.1881649006082,16.987516733263,15.1475583055801
"6803t25_5'UTR",0,0,0,0,0,0,0,0
"6803t26",101.245689938825,123.605955330432,106.042804548299,129.988143775376,149.960046152211,155.199107974305,159.359085545372,98.4591289862708
"6803t26_5'UTR",0,0.813197074542317,2.65107011370747,0,0,0,3.23571747300247,0
"6803t27",74.1800104502279,69.9349484106392,92.7874539797613,73.5286469840509,79.6662745183619,91.7600565395528,64.7143494600495,92.7787946216782
"6803t27_5'UTR",1.00243257365173,0,0.883690037902489,1.31301155328662,5.85781430282073,0,0,5.68033436459254
"6803t28",40.0973029460691,16.2639414908463,24.7433210612697,30.1992657255923,17.5734429084622,46.4464483718724,98.6893829265755,24.6147822465677
"6803t28_5'UTR",0,0,0,0,0,0,0,0
"6803t29",0,0,0,0,0,0,0,0
"6803t30",97.2359596442176,82.9461016033163,97.2059041692738,80.093704750484,100.754406008517,104.221298785665,117.29475839634,96.5656841980732
"6803t30_5'UTR",1.00243257365173,0,0.883690037902489,0,0,0,0,0
"6803t31",163.396509505232,209.804845231918,249.200590688502,158.874397947681,228.454757810008,160.863308995265,422.261130226823,282.12327344143
"6803t31_5'UTR",26.0632469149449,11.3847590435924,6.18583026531742,3.93903465985987,15.2303171873339,20.3911236754562,4.04464684125309,14.2008359114814
"6803t32",146.355155753152,153.694247088498,226.224649703037,156.248374841108,208.538189180418,106.486979194049,202.232342062655,159.049362208591
"6803t32_5'UTR",0,0,0,0,0,0,0,0
"6803t33",58.1410892718002,73.1877367088085,80.4157934491265,53.8334736847515,114.813160335286,192.582834712642,38.8286096760297,33.1352837934565
"6803t33_5'UTR",0,0,0,0,0,0,0,0
"6803t34",0,0,0,0,0,0,0,0
