CDS	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
		BA000022.2-2448799-minus	1849.9204986771504	-8.42832205813296	0.3639854879328504	-23.155654105879773	1.2750631198056086e-118	5.574575959790121e-115
		BA000022.2-3329929-plus	1827.482073876202	-8.482412280326999	0.38143051338925194	-22.23842084618608	1.4600483127579195e-109	3.191665611688812e-106
		BA000022.2-2448800-minus	30420.75708943499	-5.994462254936007	0.31118539787334065	-19.26331471817931	1.0916167562021671e-82	1.1931371145289686e-79
		BA000022.2-3329928-plus	30371.793632254594	-5.999966429501581	0.311387618713898	-19.268481047136085	9.879325629644815e-83	1.1931371145289686e-79
		BA000022.2-3329960-plus	18363.462856864127	-6.667297442274087	0.4340993698733329	-15.358919880993048	3.086744824588224e-53	2.699049674619943e-50
		BA000022.2-2448768-minus	18425.746204224924	-6.677701961572014	0.43792445055820517	-15.248525066504527	1.6839410134486855e-52	1.227031685132942e-49
		BA000022.2-3329930-plus	237.85496879866884	-7.64825759557983	0.5297362785633778	-14.437858808389674	2.989869188949824e-47	1.8673868705840901e-44
		BA000022.2-2448798-minus	222.17543648948345	-7.851040246437172	0.5544778733045516	-14.159339126820168	1.6352472623764886e-45	8.93662628888751e-43
sll0057	TU2721	BA000022.2-2589111-minus	331.416864200258	-5.7526113829707	0.5186473663252399	-11.091565785303306	1.3785342988223986e-28	6.696613282723918e-26
slr0476	TU2753	BA000022.2-2613286-plus	170.36383341128712	4.116116008465793	0.3983122111268121	10.333893597741925	4.950922311933714e-25	2.1645432347774196e-22
		BA000022.2-2448769-minus	1023.3550952570514	-4.69797892097807	0.45685380637178374	-10.283331025056393	8.378094422898127e-25	3.329911710628237e-22
		BA000022.2-3329959-plus	1023.9081743864808	-4.55428139130937	0.446887653374042	-10.191110353853224	2.1726832919301345e-24	7.915809460265456e-22
sll0057	TU2721	BA000022.2-2589112-minus	55.44053159951393	-6.214107072908761	0.6210582838878821	-10.005674562470817	1.4390755952496922e-23	4.839721924947427e-21
		BA000022.2-2448801-minus	59.95323512315769	-5.697460427004885	0.5754171138782445	-9.901444169090947	4.1030667090654214e-23	1.2813291180024302e-20
		BA000022.2-3329927-plus	57.6835692437082	-5.84221292422398	0.5940928638269194	-9.833837906401829	8.049148713429601e-23	2.346058545007614e-20
slr1841	TU971	BA000022.2-959937-plus	150.60786847994973	4.314067530194512	0.44465732953660353	9.702004765535714	2.95631802368925e-22	8.078138999730876e-20
sll0057	TU2721	BA000022.2-2589110-minus	69.47575531036759	-4.581885781260068	0.4903102590062904	-9.344870308335288	9.200215584422968e-21	2.3660789726527773e-18
	TU2928	BA000022.2-2781050-plus	86.26691162721275	-4.8360379977188	0.5216672292237593	-9.270350382014264	1.8553542554199796e-20	4.506449335942306e-18
slr1986	TU1472	BA000022.2-1431349-plus	239.69405643231667	3.1616381070958064	0.355825509951378	8.885360994853434	6.371354474616166e-19	1.466082198053783e-16
		BA000022.2-2452183-minus	649.6074589200673	-4.016743787691892	0.453456083953959	-8.858065708739563	8.141472581080851e-19	1.779725906224274e-16
slr0374	TU2462	BA000022.2-2376891-plus	91.21759147857274	-3.8149423241990603	0.43212798004765207	-8.828269633867205	1.0630752929942165e-18	2.2132215147479595e-16
	TU905	BA000022.2-900894-plus	217.87282734507622	-2.747162754271366	0.33267893225182565	-8.25769980586527	1.4850647722207426e-16	2.9512287200677667e-14
		BA000022.2-3326545-plus	661.4733644404903	-4.0216194361142925	0.5012954995316312	-8.022452704785419	1.036543144763242e-15	1.9703333169151714e-13
slr1841	TU971	BA000022.2-959940-plus	73.4527597742985	-3.126468856221996	0.4093304652676802	-7.638006748844001	2.2061030079701864e-14	4.018784312852356e-12
