locus_tag	gene_name	gene_product	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
	NA	NA		BA000022.2-2448799-minus	1849.9204986771504	-8.548789029808757	0.37574438717465475	-22.751608065498743	1.3833609653955385e-114	5.467042535243168e-111
	NA	NA		BA000022.2-3329929-plus	1827.482073876202	-8.547487099717916	0.3914031292798626	-21.838065309912885	1.0093985099778255e-105	1.9945714557161833e-102
	NA	NA		BA000022.2-2448800-minus	30420.75708943499	-6.275377773453564	0.3114443645614577	-20.14927379498381	2.7309060133380332e-90	3.5975135215706357e-87
	NA	NA		BA000022.2-3329928-plus	30371.793632254594	-6.2560126351793945	0.3116342904049879	-20.07485321031046	1.2244381493432516e-89	1.2097448915511326e-86
	NA	NA		BA000022.2-2448768-minus	18425.746204224924	-6.963623837520913	0.4384095162680229	-15.883833674047537	8.20091674624117e-57	6.482004596229021e-54
	NA	NA		BA000022.2-3329960-plus	18363.462856864127	-6.8385461853928975	0.43447436089412705	-15.739815282355218	8.067884220709254e-56	5.314046406707162e-53
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91216-plus	167.93249686762564	-4.9737378861093	0.4601876073468529	-10.808065681700313	3.152471994962277e-27	1.779795617727274e-24
slr0374	slr0374	hypothetical protein	TU2462	BA000022.2-2376891-plus	91.21759147857274	-4.91747711758353	0.4787162115695827	-10.27221764949308	9.40181724629803e-25	4.644497719671227e-22
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589110-minus	69.47575531036759	-5.475340108514152	0.5568364955453895	-9.8329404633426	8.12122261206866e-23	3.5661190847661493e-20
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589111-minus	331.416864200258	-4.897727234824721	0.5102113230425311	-9.599409134274442	8.04040150108484e-22	3.177566673228729e-19
	NA	NA		BA000022.2-3329930-plus	237.85496879866884	-10.424428158754596	1.0896523144842745	-9.566747135932449	1.1032211631352733e-21	3.9635727606459995e-19
