"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AP004311.1-91216-plus",165.127376102514,-4.93151859924263,0.419101566136421,-11.7668818198531,5.78224744095812e-32,2.26317164839101e-28
"BA000022.2-2376891-plus",89.2396835447167,-4.86676830387462,0.437542271108138,-11.1229671399493,9.69916391102116e-29,1.89812637738684e-25
"AP004311.1-91410-plus",207.743459232928,-4.98660399643894,0.474268425259267,-10.5143073644697,7.42241741495349e-26,9.68378058737599e-23
"BA000022.2-2589110-minus",68.2168437807103,-5.44344902201346,0.519134194368644,-10.4856298834902,1.00573248751142e-25,9.84109239029922e-23
"AP004311.1-91362-plus",210.650760889411,-3.88979043464453,0.376337135911153,-10.3359197471356,4.8473941937916e-25,3.79454017490007e-22
"BA000022.2-2589112-minus",54.281469560229,-6.65145286025005,0.694485487173241,-9.57752607232068,9.93972281680785e-22,6.48401251749766e-19
"BA000022.2-2613286-plus",168.683946425609,3.23829749758105,0.355741680629099,9.10294653090521,8.7913709199807e-20,4.91563225440064e-17
"AP004311.1-91435-plus",140.180629162807,-3.29882781403963,0.365494224751931,-9.02566330912237,1.78610000090585e-19,8.73849425443189e-17
"BA000022.2-2695590-plus",52.7834462800682,-4.18689112511087,0.467722556218306,-8.95165535518169,3.50190829656995e-19,1.51436878735905e-16
"BA000022.2-2695591-plus",71.5476226754755,-3.72810538343438,0.416984011968522,-8.94064346936117,3.86910778579216e-19,1.51436878735905e-16
"BA000022.2-959937-plus",149.432036614483,3.56711678908492,0.40727968517973,8.75839605776256,1.98048229248426e-18,7.04691608434854e-16
"AP004311.1-91287-plus",145.050085207152,-2.7797709596993,0.330342521484474,-8.41481425766118,3.93517945354972e-17,1.2262973829096e-14
"BA000022.2-1431349-plus",237.763594574219,2.56310369044491,0.304740419348703,8.41077693573707,4.07303678534103e-17,1.2262973829096e-14
"BA000022.2-2781050-plus",84.9365994929039,-3.7469455883878,0.447008677366015,-8.382265889035,5.19183877954529e-17,1.45148978451002e-14
"BA000022.2-92762-plus",39.9514053697928,-6.34440041612876,0.765606847498541,-8.28676028284981,1.16374855279516e-16,3.03660789042684e-14
"BA000022.2-900894-plus",215.122547996865,-2.28046506844291,0.278796764597239,-8.17966833918378,2.8462618614744e-16,6.96266807863176e-14
"AP004311.1-91139-plus",63.6867915147984,-5.25948329985029,0.71023849532799,-7.4052354729399,1.30917957227524e-13,3.01419343875605e-11
"AP004311.1-92489-plus",51.0465581957713,-4.53763851249791,0.621332346542112,-7.30307787410576,2.81258283142386e-13,6.11580511232944e-11
"BA000022.2-612761-plus",31.6068013088663,-4.00528383743616,0.550200614288104,-7.27967896331512,3.34615503829956e-13,6.8930793788971e-11
"AP004311.1-91585-plus",53.6796785558338,-3.7960503376373,0.528751022271311,-7.17927753847346,7.00807537201211e-13,1.37148035030277e-10
"BA000022.2-811014-minus",46.697176745031,-2.84583277902431,0.41322139475373,-6.88694442048518,5.70034797010422e-12,1.06243628357085e-09
"BA000022.2-2377279-plus",31.5134556532068,-3.97428113430285,0.580143359176421,-6.85051560349633,7.35842847424718e-12,1.30913132037288e-09
"BA000022.2-458554-minus",21.4614106596329,-5.02068965857638,0.753910575779296,-6.65952941883941,2.74705715690981e-11,4.67477465745435e-09
"BA000022.2-959940-plus",72.5896057632156,-2.41032840785043,0.362485878997485,-6.64944084033452,2.94208571253599e-11,4.79805144952744e-09
"BA000022.2-632124-minus",38.9470219823612,-3.21725391994534,0.48474974022877,-6.63693789382333,3.20266506889464e-11,5.01409243186145e-09
"AP004311.1-90633-plus",46.4161642372721,-4.01965269441184,0.606465581222594,-6.62799805771085,3.40269946945856e-11,5.12237143210032e-09
"AP004311.1-92560-plus",85.0517950719244,-2.45874090619209,0.380016530724197,-6.47008934455159,9.79449873539104e-11,1.41983955741928e-08
"BA000022.2-2589111-minus",325.245534467076,-4.86461660930113,0.773560171627991,-6.28860790371786,3.20325383773133e-10,4.47769125745729e-08
"AP004311.1-91955-plus",32.3090490627777,-5.29278833074806,0.854864412262611,-6.19137755043444,5.96406607290535e-10,8.04943262391432e-08
"BA000022.2-2377240-plus",74.3331550792483,2.59171604101165,0.420535724367855,6.16289149966388,7.14284522136908e-10,9.31903206547953e-08
"BA000022.2-632114-minus",52.8692292792358,-3.06191655356692,0.506469539252882,-6.04560850408439,1.48847135938116e-09,1.87931512923157e-07
