"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-2448799-minus",1849.92049867715,-8.54878902980876,0.375744387174655,-22.7516080654987,1.38336096539554e-114,5.46704253524317e-111
"BA000022.2-3329929-plus",1827.4820738762,-8.54748709971792,0.391403129279863,-21.8380653099129,1.00939850997783e-105,1.99457145571618e-102
"BA000022.2-2448800-minus",30420.757089435,-6.27537777345356,0.311444364561458,-20.1492737949838,2.73090601333803e-90,3.59751352157064e-87
"BA000022.2-3329928-plus",30371.7936322546,-6.25601263517939,0.311634290404988,-20.0748532103105,1.22443814934325e-89,1.20974489155113e-86
"BA000022.2-2448768-minus",18425.7462042249,-6.96362383752091,0.438409516268023,-15.8838336740475,8.20091674624117e-57,6.48200459622902e-54
"BA000022.2-3329960-plus",18363.4628568641,-6.8385461853929,0.434474360894127,-15.7398152823552,8.06788422070925e-56,5.31404640670716e-53
"AP004311.1-91216-plus",167.932496867626,-4.9737378861093,0.460187607346853,-10.8080656817003,3.15247199496228e-27,1.77979561772727e-24
"BA000022.2-2376891-plus",91.2175914785727,-4.91747711758353,0.478716211569583,-10.2722176494931,9.40181724629803e-25,4.64449771967123e-22
"BA000022.2-2589110-minus",69.4757553103676,-5.47534010851415,0.556836495545389,-9.8329404633426,8.12122261206866e-23,3.56611908476615e-20
"BA000022.2-2589111-minus",331.416864200258,-4.89772723482472,0.510211323042531,-9.59940913427444,8.04040150108484e-22,3.17756667322873e-19
"BA000022.2-3329930-plus",237.854968798669,-10.4244281587546,1.08965231448427,-9.56674713593245,1.10322116313527e-21,3.963572760646e-19
"AP004311.1-91410-plus",213.305320283356,-5.02344318107852,0.525659768213309,-9.55645359383875,1.21861035899952e-21,4.01329011563842e-19
"BA000022.2-2448801-minus",59.9532351231577,-6.04698480956886,0.634164643852906,-9.53535468775118,1.49374069551255e-21,4.54097171435815e-19
"BA000022.2-3329959-plus",1023.90817438648,-4.2459080069231,0.446828487879588,-9.50232163368082,2.05262077397069e-21,5.7942552133801e-19
"BA000022.2-2452183-minus",649.607458920067,-4.32371917102196,0.455928444872685,-9.48332840305529,2.4629886021675e-21,6.48915397051064e-19
"BA000022.2-2448798-minus",222.175436489483,-10.345006516764,1.09262756053323,-9.46800802984994,2.85230922074492e-21,7.04520377523996e-19
"BA000022.2-3329927-plus",57.6835692437082,-5.84005175635349,0.618865181566478,-9.43671082217146,3.84664809770352e-21,8.94232546007313e-19
"BA000022.2-2589112-minus",55.4405315995139,-6.69180305836537,0.722620658856253,-9.26046463846881,2.03544511329186e-20,4.46893282651635e-18
"AP004311.1-91362-plus",214.729554269026,-3.93507842634898,0.438129746526562,-8.9815367651838,2.67010862383031e-19,5.55382593756705e-17
"BA000022.2-2448769-minus",1023.35509525705,-4.08755249825463,0.455890748505471,-8.96607906972164,3.07257427645326e-19,6.07140677027163e-17
"BA000022.2-3326545-plus",661.47336444049,-4.5115144663759,0.50435791329102,-8.94506529487663,3.71729924503203e-19,6.99560315065076e-17
"BA000022.2-2695590-plus",53.8724791412581,-4.23390338617435,0.503834777969261,-8.40335675762475,4.33893980474791e-17,7.79431368561988e-15
"BA000022.2-2695591-plus",72.8737287016973,-3.76884784293642,0.456337834112974,-8.25889847652513,1.47022909408077e-16,2.52623712165531e-14
"BA000022.2-92762-plus",40.8178749035045,-6.39158570261604,0.787157231696685,-8.11983355452283,4.66823463718886e-16,7.68702636923766e-14
