locus_tag	localization	sense_tags	annotation	antisense_tags	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU1557	Chr	NA	NA	sll0247	6133.827333932545	1.7459237478416367	0.15412598491042942	11.327900021896264	9.546614865057704e-30	2.8639844595173113e-26
TU421	Chr	NA	NA	ncr0200; ssr1155; slr0689	686.6729429781658	1.5005839026643928	0.17775546420096963	8.441844020996387	3.1237001649951025e-17	4.6855502474926536e-14
TU3422	Chr	sll0528	peptidase M50	NA	446.7940375231151	-1.072530815929251	0.17959017814339495	-5.972101743074623	2.34216379616239e-9	2.0790200341484226e-6
TU5060	pSYSM	slr5053; slr5054	slr5053; slr5054	NA	500.8613631633176	-1.9762006649749668	0.33243858360639456	-5.944558671669644	2.7720267121978967e-9	2.0790200341484226e-6
TU1593	Chr	ncl0710; ssl3769	ncRNA; unknown protein	NA	542.9953467566986	-1.2542699746089827	0.21483555212468156	-5.838279382553298	5.274266221035935e-9	2.260399809015401e-6
TU2899	Chr	ncr1420	NA	sll0179	1344.743608528812	-2.231640057259883	0.38200365539107567	-5.841933776720658	5.159831927755319e-9	2.260399809015401e-6
TU441	Chr	sll1515	glutamine synthetase inactivating factor IF17	ncr0220; slr1597	3708.3566558550488	-1.3272709056843761	0.2258184419223293	-5.877601910568905	4.162524584352392e-9	2.260399809015401e-6
TU121	Chr	NA	NA	slr0742; slr0743; slr0743a; slr0744; slr0236	213.39783863009654	1.5358555481428298	0.26620477558490563	5.769451523806232	7.952995116938868e-9	2.9823731688520754e-6
TU2463	Chr	slr0376; ncr1200	hypothetical protein ; ncRNA	NA	75441.44357959446	1.1905835171299546	0.2088049422702157	5.701893375632907	1.1848393599220784e-8	3.9494645330735945e-6
TU2158	Chr	slr0442	unknown protein	NA	926.5605683376518	-1.2995834927428578	0.23156587301390094	-5.612154657456125	1.998227200130123e-8	5.994681600390368e-6
TU8016	pSYSG	sll8018	hypothetical protein	NA	118.76809778685411	-1.1421937839340939	0.2103781391568124	-5.429241785824151	5.6593969248759723e-8	1.543471888602538e-5
TU932	Chr	NA	NA	ssl3335; sll1742; sll1743; sll1744; sll1745; sll1746	912.7642814145036	0.8134335471562124	0.1523987225886625	5.337535205933063	9.421861229489891e-8	2.355465307372473e-5
TU2721	Chr	sll0057; sll0058; sll0060	heat shock protein GrpE ; DnaK protein 1; heat shock protein 70; molecular c haperone ; hypothetical protein	NA	2121.219665010445	-0.8796475082665475	0.1661124913761944	-5.295492837287068	1.1869584679337986e-7	2.5597942058239166e-5
TU891	Chr	slr1204	serine protease HtrA	NA	1017.8145779246021	-1.1372474102966823	0.21480500155025412	-5.294324629729912	1.1945706293844945e-7	2.5597942058239166e-5
TU2304	Chr	sll1862	unknown protein	NA	4004.3100077626837	-1.6693761405644987	0.31733265971408925	-5.260650265461409	1.4354683810858436e-7	2.870936762171687e-5
TU445	Chr	sll1514	chaperone	ncr0220; slr1597	1155.0757953323966	-1.5683191731749757	0.2990473102164465	-5.2443848167029055	1.5680462644319382e-7	2.940086745809884e-5
TU1987	Chr	NA	NA	sll1096; sll1097; sll1098; sll1099; sll1101	1273.436345705089	0.802541776092909	0.1561130707587135	5.140772468266338	2.73611230967877e-7	4.828433487668418e-5
TU724	Chr	ssr2848	unknown protein	NA	108.48584689766861	-2.070036669787283	0.40735676595663056	-5.08163075412787	3.7420829051906476e-7	6.236804841984413e-5
TU5051	pSYSM	sll5046; ssl5045; sll5044; sll5043	sll5046; ssl5045; sll5044; sll5043	NA	1289.441184086036	-1.6196656615595313	0.3265342224379662	-4.960171247800005	7.043106255019427e-7	1.056465938252914e-4
TU744	Chr	NA	NA	sll1571; sll1572; ncl0300	315.9577769099041	1.014907470978846	0.2044120947704431	4.965006948921479	6.869861014236893e-7	1.056465938252914e-4
TU1203	Chr	ssl2598	photosystem II reaction center protein H	NA	5263.0529844469165	0.687775075546952	0.14165812460613275	4.855175638243459	1.2028008611153055e-6	1.6401829924299623e-4
TU905	Chr	csiR1; slr1214	ncRNA; two-component response regulator PatA subfamily	NA	45904.34586947432	-0.8361183157223467	0.17219832854618713	-4.855554190225967	1.2005051716073559e-6	1.6401829924299623e-4
TU2895	Chr	ssl0352	hypothetical protein	NA	1556.0743577702729	0.8708269172462281	0.18015867729842347	4.833666245249728	1.3404124136753054e-6	1.6755155170941318e-4
TU3571	Chr	sll1483; sll1484	periplasmic protein; similar to transforming growt h factor induced protein ; type 2 NADH dehydrogenase	NA	742.3504224733437	-0.9395062405818162	0.19416162904399573	-4.838784291251133	1.3063573428450017e-6	1.6755155170941318e-4
TU3661	Chr	slr1668; ssr2786	periplasmic protein; function unknown (target gene of sycrp1) ; unknown protein	ssl2996	715.8352259485756	-0.9097400850445216	0.1894288717947379	-4.802541853441968	1.5666405952050482e-6	1.879968714246058e-4
TU2474	Chr	ncl1180; sll0330	ncRNA; sepiapterine reductase	NA	291.5857921470729	-1.8320165085657385	0.3913430546314167	-4.681356898722039	2.8498229693128237e-6	3.2882572722840275e-4
