names	peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	peak_7	peak_8	peak_9	peak_10	peak_11	peak_12	peak_13	peak_14	peak_15	peak_16	peak_17	peak_18	peak_19	peak_20	peak_21	peak_22	peak_23	peak_24	peak_25	peak_26	peak_27	peak_28	peak_29	peak_30	peak_31	peak_32	peak_33	peak_34	peak_35	peak_36	peak_37	peak_38	peak_39	peak_40	peak_41	peak_42	peak_43	peak_44	peak_45	peak_46	peak_47	peak_48	peak_49	peak_50	peak_51	peak_52	peak_53	peak_54	peak_55	peak_56	peak_57	peak_58	peak_59	peak_60	peak_61	peak_62	peak_63	peak_64	peak_65	peak_66	peak_67	peak_68	peak_69	peak_70	peak_71	peak_72	peak_73	peak_74	peak_75	peak_76	peak_77	peak_78	peak_79	peak_80	peak_81	peak_82	peak_83	peak_84	peak_85	peak_86	peak_87	peak_88	peak_89	peak_90	peak_91	peak_92	peak_93	peak_94	peak_95	peak_96	peak_97	peak_98	peak_99
25.5	-8.949999809265137	-10.829999923706055	-11.989999771118164	-4.599999904632568	-12.329999923706055	-8.800000190734863	-6.050000190734863	-13.109999656677246	-11.0	-8.819999694824219	-0.8100000023841858	-10.40999984741211	-10.539999961853027	-9.899999618530273	-5.429999828338623	-6.53000020980835	-13.630000114440918	-9.569999694824219	-5.010000228881836	-14.4399995803833	-15.479999542236328	-7.059999942779541	-9.600000381469727	-7.800000190734863	-7.820000171661377	-14.460000038146973	-12.40999984741211	-5.400000095367432	-19.799999237060547	-16.700000762939453	-7.170000076293945	-6.909999847412109	-13.010000228881836	-5.960000038146973	-12.289999961853027	-13.779999732971191	-2.140000104904175	-5.289999961853027	-9.289999961853027	-10.539999961853027	-12.829999923706055	-5.300000190734863	-11.15999984741211	-1.5399999618530273	-12.880000114440918	-16.700000762939453	-3.9800000190734863	-4.199999809265137	-2.7899999618530273	0.0	-7.71999979019165	-10.390000343322754	-0.8199999928474426	-10.8100004196167	-15.729999542236328	-2.4000000953674316	-7.960000038146973	-9.479999542236328	-4.190000057220459	-4.690000057220459	-9.470000267028809	-7.0	-6.820000171661377	-12.34000015258789	-7.510000228881836	-6.78000020980835	-4.03000020980835	-9.579999923706055	-25.59000015258789	-17.739999771118164	-7.28000020980835	-12.920000076293945	-5.789999961853027	0.0	-9.779999732971191	-5.840000152587891	-3.0899999141693115	-7.650000095367432	-9.399999618530273	-11.960000038146973	-12.220000267028809	-10.170000076293945	-9.0	-9.279999732971191	-6.880000114440918	-8.109999656677246	-3.6600000858306885	-9.319999694824219	-3.109999895095825	-1.8200000524520874	-10.649999618530273	-15.350000381469727	-12.65999984741211	-2.880000114440918	-11.609999656677246	-10.010000228881836	-9.720000267028809	-7.820000171661377	-5.78000020980835
26.5	-8.949999809265137	-11.210000038146973	-11.989999771118164	-1.899999976158142	-13.180000305175781	-8.239999771118164	-6.050000190734863	-12.119999885559082	-11.619999885559082	-8.819999694824219	-0.8100000023841858	-11.600000381469727	-13.65999984741211	-9.899999618530273	-5.429999828338623	-7.119999885559082	-13.630000114440918	-9.569999694824219	-5.789999961853027	-17.549999237060547	-15.479999542236328	-7.059999942779541	-9.600000381469727	-11.029999732971191	-7.820000171661377	-14.460000038146973	-15.520000457763672	-5.400000095367432	-20.959999084472656	-13.229999542236328	-7.170000076293945	-6.659999847412109	-13.010000228881836	-5.960000038146973	-11.989999771118164	-13.779999732971191	-2.140000104904175	-5.289999961853027	-9.289999961853027	-9.819999694824219	-13.329999923706055	-6.949999809265137	-13.09000015258789	-1.5399999618530273	-9.75	-16.479999542236328	-3.9800000190734863	-4.199999809265137	-2.7899999618530273	0.0	-6.420000076293945	-10.390000343322754	-0.8199999928474426	-11.15999984741211	-15.300000190734863	-2.2200000286102295	-8.140000343322754	-9.319999694824219	-4.190000057220459	-4.690000057220459	-9.260000228881836	-6.25	-7.980000019073486	-11.850000381469727	-6.510000228881836	-6.78000020980835	-4.03000020980835	-10.489999771118164	-25.59000015258789	-17.739999771118164	-7.28000020980835	-12.670000076293945	-5.789999961853027	-0.23000000417232513	-11.039999961853027	-6.610000133514404	-3.0899999141693115	-7.650000095367432	-11.989999771118164	-11.960000038146973	-12.220000267028809	-10.170000076293945	-10.600000381469727	-10.140000343322754	-7.46999979019165	-8.109999656677246	-2.140000104904175	-9.319999694824219	-3.109999895095825	-1.8200000524520874	-10.649999618530273	-16.200000762939453	-13.020000457763672	-2.680000066757202	-15.0	-9.869999885559082	-9.720000267028809	-7.820000171661377	-5.78000020980835
27.5	-9.229999542236328	-11.210000038146973	-11.510000228881836	-2.4100000858306885	-13.180000305175781	-9.020000457763672	-5.840000152587891	-12.119999885559082	-14.140000343322754	-9.0	-0.8100000023841858	-11.699999809265137	-15.369999885559082	-9.899999618530273	-5.429999828338623	-8.069999694824219	-13.630000114440918	-9.569999694824219	-5.789999961853027	-18.709999084472656	-15.479999542236328	-6.559999942779541	-9.600000381469727	-8.569999694824219	-7.820000171661377	-14.460000038146973	-18.639999389648438	-5.400000095367432	-21.829999923706055	-13.229999542236328	-7.170000076293945	-7.900000095367432	-13.010000228881836	-5.480000019073486	-11.420000076293945	-13.779999732971191	-2.140000104904175	-4.96999979019165	-9.289999961853027	-10.109999656677246	-13.329999923706055	-7.730000019073486	-14.460000038146973	-1.4900000095367432	-9.75	-16.479999542236328	-3.9800000190734863	-4.199999809265137	-2.7899999618530273	0.0	-6.420000076293945	-10.390000343322754	-0.8199999928474426	-11.380000114440918	-12.399999618530273	-2.2200000286102295	-9.84000015258789	-9.3100004196167	-4.190000057220459	-4.690000057220459	-8.829999923706055	-6.909999847412109	-7.980000019073486	-11.789999961853027	-6.510000228881836	-6.78000020980835	-4.420000076293945	-7.380000114440918	-25.59000015258789	-20.010000228881836	-7.28000020980835	-12.420000076293945	-6.090000152587891	-2.359999895095825	-11.039999961853027	-6.610000133514404	-3.0899999141693115	-7.650000095367432	-13.25	-11.960000038146973	-12.220000267028809	-10.170000076293945	-11.34000015258789	-10.720000267028809	-7.46999979019165	-8.109999656677246	-2.140000104904175	-9.319999694824219	-3.109999895095825	-2.3299999237060547	-10.649999618530273	-14.319999694824219	-13.020000457763672	-2.680000066757202	-16.079999923706055	-10.069999694824219	-9.720000267028809	-7.820000171661377	-7.25
28.5	-6.989999771118164	-11.210000038146973	-11.0	-3.6600000858306885	-13.180000305175781	-9.020000457763672	-7.360000133514404	-11.800000190734863	-14.520000457763672	-8.760000228881836	-0.8100000023841858	-10.170000076293945	-16.059999465942383	-9.899999618530273	-6.5	-8.350000381469727	-13.630000114440918	-9.569999694824219	-5.769999980926514	-18.709999084472656	-15.479999542236328	-5.96999979019165	-9.600000381469727	-8.15999984741211	-8.100000381469727	-14.460000038146973	-15.699999809265137	-7.159999847412109	-24.950000762939453	-13.229999542236328	-7.170000076293945	-8.539999961853027	-13.420000076293945	-5.090000152587891	-11.40999984741211	-13.779999732971191	-2.140000104904175	-4.510000228881836	-9.289999961853027	-9.319999694824219	-13.329999923706055	-7.730000019073486	-14.460000038146973	-1.4900000095367432	-9.75	-16.479999542236328	-3.9800000190734863	-4.199999809265137	-2.7899999618530273	0.0	-6.699999809265137	-10.390000343322754	-0.8199999928474426	-12.4399995803833	-11.279999732971191	-2.9700000286102295	-11.0	-9.300000190734863	-4.349999904632568	-4.690000057220459	-9.279999732971191	-7.71999979019165	-7.980000019073486	-11.789999961853027	-6.409999847412109	-6.78000020980835	-4.420000076293945	-4.150000095367432	-25.690000534057617	-20.389999389648438	-7.28000020980835	-12.319999694824219	-3.690000057220459	-3.75	-11.039999961853027	-6.610000133514404	-3.0899999141693115	-7.840000152587891	-13.25	-11.960000038146973	-12.210000038146973	-10.350000381469727	-11.039999961853027	-10.720000267028809	-7.46999979019165	-7.900000095367432	-2.140000104904175	-9.319999694824219	-3.109999895095825	-5.239999771118164	-10.649999618530273	-14.319999694824219	-13.020000457763672	-2.680000066757202	-16.200000762939453	-6.650000095367432	-9.720000267028809	-7.820000171661377	-8.640000343322754
29.5	-7.769999980926514	-11.210000038146973	-9.850000381469727	-4.820000171661377	-13.180000305175781	-9.020000457763672	-7.650000095367432	-10.369999885559082	-14.520000457763672	-8.760000228881836	-0.8100000023841858	-10.170000076293945	-15.8100004196167	-9.899999618530273	-7.110000133514404	-8.350000381469727	-13.619999885559082	-9.569999694824219	-5.769999980926514	-18.709999084472656	-16.43000030517578	-5.119999885559082	-9.359999656677246	-8.15999984741211	-6.920000076293945	-14.460000038146973	-13.350000381469727	-9.140000343322754	-22.010000228881836	-13.229999542236328	-7.170000076293945	-8.539999961853027	-13.420000076293945	-4.96999979019165	-11.15999984741211	-13.779999732971191	-2.140000104904175	-4.510000228881836	-9.289999961853027	-8.25	-13.329999923706055	-7.730000019073486	-14.460000038146973	-1.4900000095367432	-9.75	-16.479999542236328	-3.9800000190734863	-4.199999809265137	-2.7899999618530273	0.0	-3.9700000286102295	-10.260000228881836	-0.8199999928474426	-12.430000305175781	-9.890000343322754	-2.7300000190734863	-11.130000114440918	-9.300000190734863	-4.670000076293945	-4.889999866485596	-8.59000015258789	-8.710000038146973	-7.980000019073486	-11.789999961853027	-5.800000190734863	-6.78000020980835	-4.420000076293945	-3.549999952316284	-21.579999923706055	-20.389999389648438	-6.880000114440918	-11.949999809265137	-3.690000057220459	-4.03000020980835	-11.039999961853027	-6.610000133514404	-3.0899999141693115	-7.840000152587891	-13.25	-11.960000038146973	-13.300000190734863	-9.890000343322754	-9.960000038146973	-10.720000267028809	-7.46999979019165	-6.869999885559082	-4.28000020980835	-9.319999694824219	-3.109999895095825	-3.2699999809265137	-10.649999618530273	-14.319999694824219	-13.020000457763672	-2.680000066757202	-16.479999542236328	-6.650000095367432	-9.720000267028809	-8.470000267028809	-8.739999771118164
30.5	-7.769999980926514	-11.119999885559082	-10.4399995803833	-4.820000171661377	-13.180000305175781	-9.020000457763672	-7.650000095367432	-10.359999656677246	-17.010000228881836	-8.760000228881836	-0.8100000023841858	-10.170000076293945	-15.3100004196167	-7.880000114440918	-7.440000057220459	-8.350000381469727	-9.920000076293945	-9.760000228881836	-5.769999980926514	-18.709999084472656	-15.479999542236328	-5.090000152587891	-9.34000015258789	-8.15999984741211	-5.550000190734863	-14.460000038146973	-12.1899995803833	-9.680000305175781	-20.149999618530273	-13.5	-8.34000015258789	-8.539999961853027	-13.420000076293945	-4.760000228881836	-11.15999984741211	-13.5600004196167	-2.140000104904175	-4.510000228881836	-9.289999961853027	-7.869999885559082	-15.0600004196167	-7.730000019073486	-14.460000038146973	-1.4900000095367432	-9.75	-16.31999969482422	-3.9800000190734863	-4.199999809265137	-2.9000000953674316	0.0	-3.5299999713897705	-8.220000267028809	-0.8199999928474426	-12.0600004196167	-8.149999618530273	-2.450000047683716	-11.40999984741211	-9.300000190734863	-6.679999828338623	-6.119999885559082	-8.369999885559082	-9.270000457763672	-7.980000019073486	-11.789999961853027	-5.800000190734863	-6.78000020980835	-4.420000076293945	-3.1700000762939453	-20.559999465942383	-20.389999389648438	-7.289999961853027	-11.4399995803833	-4.690000057220459	-4.03000020980835	-11.039999961853027	-6.989999771118164	-3.0899999141693115	-7.53000020980835	-13.430000305175781	-11.960000038146973	-14.460000038146973	-9.890000343322754	-10.779999732971191	-10.720000267028809	-7.46999979019165	-6.28000020980835	-5.539999961853027	-9.319999694824219	-3.109999895095825	-1.8200000524520874	-10.649999618530273	-12.899999618530273	-13.020000457763672	-3.5899999141693115	-16.969999313354492	-6.650000095367432	-9.510000228881836	-9.109999656677246	-8.739999771118164
31.5	-7.769999980926514	-8.850000381469727	-11.029999732971191	-4.820000171661377	-13.180000305175781	-9.579999923706055	-7.650000095367432	-10.520000457763672	-17.59000015258789	-8.760000228881836	-0.8100000023841858	-10.170000076293945	-12.960000038146973	-8.510000228881836	-7.440000057220459	-8.350000381469727	-11.390000343322754	-10.90999984741211	-5.769999980926514	-18.709999084472656	-17.049999237060547	-1.5700000524520874	-9.130000114440918	-8.15999984741211	-6.019999980926514	-14.460000038146973	-12.1899995803833	-9.680000305175781	-20.149999618530273	-16.729999542236328	-9.199999809265137	-8.539999961853027	-13.420000076293945	-4.71999979019165	-11.15999984741211	-10.449999809265137	-2.859999895095825	-4.510000228881836	-9.289999961853027	-7.789999961853027	-15.649999618530273	-8.34000015258789	-14.460000038146973	-1.4800000190734863	-9.75	-15.449999809265137	-3.9800000190734863	-4.199999809265137	-3.4800000190734863	0.0	-3.5299999713897705	-7.190000057220459	-0.8199999928474426	-12.0600004196167	-5.789999961853027	-2.450000047683716	-11.40999984741211	-9.279999732971191	-7.269999980926514	-8.279999732971191	-8.34000015258789	-10.4399995803833	-7.980000019073486	-11.789999961853027	-6.389999866485596	-6.78000020980835	-4.420000076293945	-2.049999952316284	-20.559999465942383	-21.450000762939453	-8.100000381469727	-14.180000305175781	-7.150000095367432	-4.360000133514404	-11.039999961853027	-6.800000190734863	-3.0899999141693115	-5.25	-12.0600004196167	-11.960000038146973	-14.460000038146973	-9.890000343322754	-8.8100004196167	-10.720000267028809	-7.46999979019165	-5.440000057220459	-5.539999961853027	-9.319999694824219	-1.2200000286102295	-1.8200000524520874	-10.640000343322754	-12.729999542236328	-12.4399995803833	-6.590000152587891	-15.529999732971191	-6.650000095367432	-9.199999809265137	-9.109999656677246	-8.739999771118164
32.5	-7.769999980926514	-8.600000381469727	-10.600000381469727	-4.389999866485596	-12.960000038146973	-11.170000076293945	-7.650000095367432	-10.279999732971191	-16.90999984741211	-8.760000228881836	-0.8100000023841858	-10.329999923706055	-13.140000343322754	-9.020000457763672	-7.420000076293945	-8.350000381469727	-12.180000305175781	-10.90999984741211	-5.769999980926514	-18.709999084472656	-17.899999618530273	-2.4700000286102295	-9.390000343322754	-8.15999984741211	-9.140000343322754	-14.65999984741211	-12.819999694824219	-9.680000305175781	-20.149999618530273	-17.8799991607666	-9.789999961853027	-8.15999984741211	-13.420000076293945	-4.71999979019165	-11.15999984741211	-10.449999809265137	-4.019999980926514	-3.5199999809265137	-9.289999961853027	-7.460000038146973	-15.630000114440918	-8.829999923706055	-14.460000038146973	-1.4800000190734863	-9.75	-14.949999809265137	-3.9800000190734863	-4.199999809265137	-3.4800000190734863	0.0	-3.6500000953674316	-7.190000057220459	-0.8199999928474426	-12.0600004196167	-4.25	-2.25	-10.899999618530273	-8.420000076293945	-7.269999980926514	-8.670000076293945	-8.34000015258789	-11.3100004196167	-7.980000019073486	-11.359999656677246	-7.880000114440918	-6.78000020980835	-4.420000076293945	-1.909999966621399	-20.559999465942383	-21.469999313354492	-8.779999732971191	-14.949999809265137	-8.3100004196167	-4.360000133514404	-11.039999961853027	-6.610000133514404	-3.4600000381469727	-5.25	-10.039999961853027	-11.9399995803833	-14.460000038146973	-10.130000114440918	-8.630000114440918	-10.720000267028809	-7.449999809265137	-5.440000057220459	-5.539999961853027	-9.319999694824219	-1.7999999523162842	-1.6100000143051147	-9.420000076293945	-12.90999984741211	-12.350000381469727	-7.980000019073486	-15.3100004196167	-6.650000095367432	-7.809999942779541	-9.109999656677246	-8.739999771118164
33.5	-7.769999980926514	-8.25	-10.0600004196167	-2.1700000762939453	-11.850000381469727	-11.920000076293945	-7.650000095367432	-9.550000190734863	-14.5600004196167	-8.760000228881836	-0.8100000023841858	-10.319999694824219	-13.649999618530273	-9.119999885559082	-6.610000133514404	-8.140000343322754	-13.050000190734863	-10.930000305175781	-4.409999847412109	-18.709999084472656	-15.039999961853027	-3.4200000762939453	-9.390000343322754	-8.15999984741211	-7.960000038146973	-11.609999656677246	-14.279999732971191	-10.199999809265137	-20.309999465942383	-17.8799991607666	-9.789999961853027	-6.730000019073486	-13.420000076293945	-4.71999979019165	-11.15999984741211	-11.529999732971191	-4.019999980926514	-3.759999990463257	-9.279999732971191	-7.71999979019165	-13.329999923706055	-9.15999984741211	-14.460000038146973	-1.4800000190734863	-9.529999732971191	-13.729999542236328	-3.9800000190734863	-4.199999809265137	-3.4800000190734863	-0.7099999785423279	-3.6500000953674316	-7.559999942779541	-1.7899999618530273	-12.760000228881836	-4.559999942779541	-2.25	-10.359999656677246	-8.420000076293945	-7.269999980926514	-9.079999923706055	-8.34000015258789	-11.3100004196167	-7.550000190734863	-10.5	-9.479999542236328	-6.78000020980835	-4.420000076293945	-1.909999966621399	-20.559999465942383	-19.920000076293945	-8.779999732971191	-14.949999809265137	-8.3100004196167	-4.360000133514404	-11.039999961853027	-7.769999980926514	-3.4600000381469727	-7.949999809265137	-10.800000190734863	-10.199999809265137	-14.460000038146973	-10.039999961853027	-11.180000305175781	-10.6899995803833	-6.369999885559082	-5.440000057220459	-5.539999961853027	-9.319999694824219	-1.7999999523162842	-0.2199999988079071	-8.350000381469727	-9.470000267028809	-12.350000381469727	-7.849999904632568	-18.84000015258789	-7.21999979019165	-7.809999942779541	-9.109999656677246	-8.739999771118164
34.5	-7.769999980926514	-8.100000381469727	-10.710000038146973	-1.6799999475479126	-11.34000015258789	-11.920000076293945	-7.650000095367432	-9.550000190734863	-14.199999809265137	-8.760000228881836	-0.8100000023841858	-7.230000019073486	-11.609999656677246	-9.119999885559082	-6.940000057220459	-8.619999885559082	-13.050000190734863	-10.930000305175781	-4.409999847412109	-18.709999084472656	-15.039999961853027	-4.389999866485596	-9.390000343322754	-8.15999984741211	-7.269999980926514	-11.40999984741211	-12.1899995803833	-10.199999809265137	-20.790000915527344	-17.8799991607666	-9.789999961853027	-5.849999904632568	-13.420000076293945	-4.71999979019165	-11.15999984741211	-11.800000190734863	-4.019999980926514	-4.340000152587891	-9.210000038146973	-8.130000114440918	-14.15999984741211	-9.15999984741211	-14.460000038146973	-1.4800000190734863	-9.289999961853027	-13.729999542236328	-3.9800000190734863	-4.199999809265137	-3.5	-0.7099999785423279	-3.430000066757202	-8.359999656677246	-2.9600000381469727	-11.15999984741211	-5.099999904632568	-2.2200000286102295	-10.170000076293945	-8.420000076293945	-7.269999980926514	-9.65999984741211	-9.619999885559082	-11.3100004196167	-4.53000020980835	-10.109999656677246	-10.510000228881836	-6.78000020980835	-4.420000076293945	-1.909999966621399	-20.559999465942383	-19.920000076293945	-8.779999732971191	-14.949999809265137	-8.3100004196167	-4.360000133514404	-11.039999961853027	-8.720000267028809	-3.4600000381469727	-11.369999885559082	-11.069999694824219	-10.619999885559082	-14.640000343322754	-9.890000343322754	-11.770000457763672	-10.289999961853027	-6.369999885559082	-5.119999885559082	-5.539999961853027	-9.319999694824219	-1.590000033378601	-2.359999895095825	-8.130000114440918	-9.470000267028809	-12.350000381469727	-7.849999904632568	-20.010000228881836	-7.670000076293945	-7.809999942779541	-9.109999656677246	-8.739999771118164
