"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-1135216-plus",2691.96002238967,-4.86833791870349,0.118089873859351,-41.2257017439264,0,0
"BA000022.2-1244464-plus",1212.99169555808,-3.9387418937281,0.0960883630247601,-40.9908314570117,0,0
"BA000022.2-1518034-plus",3428.92666795032,-5.79635121752013,0.101378938937549,-57.1751024252758,0,0
"BA000022.2-1518035-plus",2885.85725938064,-6.09835501386139,0.132268633451501,-46.1058291352008,0,0
"BA000022.2-153165-plus",4029.37327803992,-4.84378608351304,0.0882164585844724,-54.9079634485081,0,0
"BA000022.2-1643636-minus",945.931533088324,-5.82877432214955,0.127890603293844,-45.576251671573,0,0
"BA000022.2-1695781-minus",6389.02456045585,-5.42939694847469,0.102104193727465,-53.175063141547,0,0
"BA000022.2-1713295-minus",484.499844923955,-5.29689693074028,0.141008507886274,-37.5643782785952,0,0
"BA000022.2-1831990-plus",2275.59606182211,-6.0104427429891,0.150243524416313,-40.0046708591222,0,0
"BA000022.2-1918322-plus",950.526339933664,-5.34288205668618,0.14044950140122,-38.0413031259061,0,0
"BA000022.2-1957511-plus",812.148318428885,-5.40047039820588,0.130035293416137,-41.5308048786677,0,0
"BA000022.2-1981959-plus",1242.81474479943,-5.24878190100519,0.131821933126674,-39.8172123296157,0,0
"BA000022.2-2046877-plus",15545.3577453038,-5.89164120552967,0.120032226904937,-49.0838282138655,0,0
"BA000022.2-2132496-minus",893.774158855882,-4.96582405806171,0.130552234951138,-38.0370666187392,0,0
"BA000022.2-2146450-minus",458.392926916891,-4.37400925950303,0.116383416219736,-37.5827536394426,0,0
"BA000022.2-2287642-minus",3810.32779153468,-5.55932631471325,0.146546905910764,-37.9354738345582,0,0
"BA000022.2-2613630-minus",3099.58089247608,-5.55819238831507,0.103569057303757,-53.6665345134259,0,0
"BA000022.2-2749209-plus",481.540980197984,-4.79619065975923,0.122142835774727,-39.2670649026444,0,0
"BA000022.2-3182134-minus",2005.81144155522,-5.11964597606303,0.109409390263988,-46.7934787289293,0,0
"BA000022.2-3316899-minus",522.28032542998,-4.7266928283205,0.117331621482518,-40.2849016198481,0,0
"BA000022.2-3316903-minus",637.481930565358,-5.4781962423506,0.125184852782272,-43.7608554117851,0,0
"BA000022.2-3316908-minus",650.341995618999,-5.21759722806525,0.135675614411396,-38.4564112770068,0,0
"BA000022.2-3316922-minus",722.31506665101,-4.60267135014822,0.103044554028484,-44.6668083873305,0,0
"BA000022.2-3316954-minus",785.418193429228,-4.99239176588254,0.121521814597766,-41.0822680883037,0,0
"BA000022.2-3316958-minus",483.790914747581,-3.8180945931826,0.099987329435285,-38.185784286336,0,0
"BA000022.2-3316967-minus",509.696603274652,-4.05648943669174,0.104913902208626,-38.6649371655742,0,0
"BA000022.2-3316971-minus",648.522810412528,-3.83303966140642,0.100161142836398,-38.2687292982197,0,0
"BA000022.2-3317166-minus",2821.54664815535,-5.0353314388663,0.0866178675021955,-58.1327107682334,0,0
"BA000022.2-3323053-plus",1123.07733599939,-5.53262931100191,0.111735904840282,-49.515232537924,0,0
"BA000022.2-348293-plus",786.974127732396,-5.60844825196923,0.138737196598831,-40.4249789491314,0,0
"BA000022.2-446081-plus",467.412671222454,-4.51126132934512,0.114143528710766,-39.5227077723908,0,0
"BA000022.2-467159-plus",27133.2700640247,-4.74836544364843,0.0920983905744979,-51.5575290081482,0,0
"BA000022.2-467160-plus",648.707068900381,-5.54026057770336,0.135960858573519,-40.7489378621975,0,0
"BA000022.2-484860-minus",23516.3599209503,-5.77597186838991,0.129673063643925,-44.5425727292942,0,0
"BA000022.2-555573-plus",905.118326476464,-4.12770574633619,0.109334226577669,-37.7530977767878,0,0
"BA000022.2-729448-minus",1056.18244473687,-5.28383927357272,0.109554730634637,-48.230133404227,0,0
"BA000022.2-818295-minus",848.614288255657,-4.7759850426234,0.123556104895975,-38.6543833398151,0,0
"BA000022.2-842950-minus",1288.6189084189,-4.69002176330298,0.122538630093765,-38.2738223833107,0,0
"BA000022.2-842951-minus",685.654610902061,-4.42142937934704,0.0987585000757032,-44.7701147340006,0,0
"BA000022.2-924270-minus",1274.44247596153,-6.13613057289876,0.144504737363893,-42.4631793035732,0,0
"BA000022.2-940481-minus",1410.23045105434,-5.34458032668372,0.120378467075796,-44.3981424295634,0,0
"BA000022.2-941641-plus",4469.36778335341,-4.86366932353398,0.0909886113837751,-53.4536053420996,0,0
"BA000022.2-957889-plus",1596.59323504858,-5.24767804585074,0.117808917261248,-44.5439799282234,0,0
"BA000022.2-986294-plus",1269.12851932101,-6.50888333996778,0.144592681458516,-45.0153028100193,0,0
"BA000022.2-900771-plus",13683.6391131331,-4.48231324898358,0.119507406850205,-37.5065727482638,7.19719837144163e-308,2.51422129775694e-305
"BA000022.2-1148394-minus",423.421283685715,-6.0742754094115,0.161986482815454,-37.4986560843582,9.68713025120592e-308,3.31047146845559e-305
"BA000022.2-3316945-minus",537.297227845964,-5.23169145835525,0.139747125700526,-37.4368448161618,9.83344846337428e-307,3.2889746775371e-304
"AP006585.1-82698-minus",15691.9854114417,-4.02091194950698,0.107741380042296,-37.3200338433431,7.76752819275058e-305,2.54386548312581e-302
"BA000022.2-1243028-minus",540.124798028924,-4.7657948776097,0.127818246194938,-37.2857163940529,2.79665783699695e-304,8.9721349382841e-302
"BA000022.2-3316946-minus",478.489365211498,-3.91455996253576,0.10530943671611,-37.1719770288822,1.93612979577174e-302,6.08719207790635e-300
"AP006585.1-93754-plus",2050.31733372144,-5.40251052673397,0.14545925076613,-37.1410583945614,6.11259093341924e-302,1.88411626418334e-299
"BA000022.2-3168888-plus",7495.71780439875,-3.72593833688782,0.100347811947373,-37.1302399582153,9.13754079163288e-302,2.76234887008594e-299
"AP006585.1-27980-minus",14583.8345733032,-2.99254077039648,0.0806677160148805,-37.0971302800299,3.12526534918122e-301,9.26965496021298e-299
"BA000022.2-2375061-plus",6292.42827490735,-5.67634547864274,0.153847809905456,-36.8958484500431,5.38661758635561e-298,1.56810423069463e-295
"BA000022.2-2512423-minus",449.458588186674,-5.67856189438817,0.155297916556663,-36.5656025547275,1.00758482341002e-292,2.87986062254645e-290
"BA000022.2-2185828-minus",563.418496276183,-6.69809056404462,0.184182162178443,-36.3666626823246,1.43306571036656e-289,4.02282017267186e-287
"BA000022.2-941542-plus",2241.49201442841,-4.46531561897946,0.123561764129739,-36.1383284742593,5.67479537403548e-286,1.56504882947084e-283
"BA000022.2-1511162-plus",601.338321651021,-4.78546271568889,0.134261476966959,-35.6428576818543,3.0400630386034e-278,8.23961913221472e-276
"BA000022.2-3316889-minus",456.147385777318,-4.80059837534582,0.134758302008881,-35.6237671726484,6.00547311269191e-278,1.60010232765283e-275
"BA000022.2-3316924-minus",585.591033079117,-3.69558189631841,0.1038339931125,-35.5912527828376,1.91315613259631e-277,5.01246906740232e-275
"BA000022.2-3316982-minus",388.025911955968,-4.38051867331967,0.123448407844693,-35.4846105332575,8.49102953789174e-276,2.18818007107636e-273
"BA000022.2-3152511-minus",468.891930516137,-3.47534732312606,0.0985419823231427,-35.2676822730191,1.83836775098933e-272,4.66115178154068e-270
"BA000022.2-3316940-minus",478.456114512241,-5.89744924575927,0.167644051799781,-35.1783984128627,4.27880064395949e-271,1.0676626368737e-268
"BA000022.2-3317121-minus",582.99745165025,-4.01009880372041,0.114059782082303,-35.1578683608812,8.81327565525859e-271,2.16476083282289e-268
"BA000022.2-1723066-minus",541.401045183775,-5.37298575659465,0.153027073538623,-35.1113409696001,4.52545313328916e-270,1.09446343469701e-267
