"","type","updown","number_feat_overlap","number_PSS_overlap","number_total"
"1","CDS","up",53,83,3675
"2","5UTR","up",4,4,979
"3","3UTR","up",0,0,29
"4","tRNA","up",3,3,42
"5","rRNA","up",0,0,6
"6","ncRNA","up",0,0,318
"7","asRNA","up",1,1,1071
"8","CRISPR","up",0,0,3
"9","misc","up",0,0,11
"10","CDS","down",62,117,3675
"11","5UTR","down",6,7,979
"12","3UTR","down",1,2,29
"13","tRNA","down",1,1,42
"14","rRNA","down",0,0,6
"15","ncRNA","down",1,2,318
"16","asRNA","down",0,0,1071
"17","CRISPR","down",0,0,3
"18","misc","down",0,0,11
"19","CDS","both",93,200,3675
"20","5UTR","both",10,11,979
"21","3UTR","both",1,2,29
"22","tRNA","both",4,4,42
"23","rRNA","both",0,0,6
"24","ncRNA","both",1,2,318
"25","asRNA","both",1,1,1071
"26","CRISPR","both",0,0,3
"27","misc","both",0,0,11
