"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-1518035-plus",5842.73248407295,1.39369158395915,0.207518187761934,6.71599727710614,1.86784281062672e-11,4.4323909896172e-08
"BA000022.2-1558783-minus",157.073917757766,-1.83752231834767,0.309774908589416,-5.93179843620961,2.9963432965602e-09,3.55516132136867e-06
"BA000022.2-900771-plus",26375.0867281457,-1.10483562892489,0.198728448419211,-5.55952425389182,2.70511004652159e-08,2.13974204679858e-05
"BA000022.2-3261276-minus",78.4863315389424,-2.09149573118966,0.379875924423122,-5.50573383760973,3.67633615219976e-08,2.18098642229251e-05
"BA000022.2-1311440-minus",39.8696739132562,-2.53858590854576,0.474596000825994,-5.34894079201588,8.84704763646297e-08,3.15476349957631e-05
"BA000022.2-2080731-plus",64.8127925732909,-2.13559537743969,0.399940913640209,-5.33977721359335,9.30608701939914e-08,3.15476349957631e-05
"BA000022.2-153163-plus",1147.54675971901,1.44442984384201,0.269052936625299,5.3685711888498,7.9362864610217e-08,3.15476349957631e-05
"BA000022.2-2741378-plus",122.572697261031,-1.8975675559677,0.392713418891956,-4.83193969109002,1.35209217245238e-06,0.000401064340653687
"BA000022.2-3181808-minus",960.738060113737,1.01661220231288,0.215017637627924,4.72804098086162,2.26696437111495e-06,0.000597722939183976
"BA000022.2-3392216-minus",46.7503716610782,-1.99361507699674,0.424746415203576,-4.69365957106717,2.68360479281883e-06,0.000636819417335908
"BA000022.2-900769-plus",112.618375835562,-1.21872200307575,0.261008251524036,-4.6692853423583,3.02249327546354e-06,0.00065203423115227
"BA000022.2-900772-plus",335.413473163071,-1.02971726374446,0.221764518590928,-4.64329131768774,3.42902320358487e-06,0.000678089338508908
"BA000022.2-2033130-plus",203.89886874277,1.49609332436167,0.344623279475816,4.34124278150125,1.41679068778216e-05,0.00258618792469775
"AP004310.1-41347-minus",39.4454494167791,-1.57287197742238,0.368596798921665,-4.26718838043044,1.9795199704482e-05,0.0032641923265251
"BA000022.2-1781080-plus",121.088889491702,-1.37418552516895,0.322735973370513,-4.25792486290748,2.06333269691852e-05,0.0032641923265251
"BA000022.2-1325477-minus",107.719209098953,-1.08890845678153,0.265345847683092,-4.10373279359559,4.06536981280643e-05,0.00602945160361854
"BA000022.2-484864-minus",245.555191225897,0.935677166000329,0.229852719488671,4.07076830799232,4.68583365836234e-05,0.00654087251252578
"BA000022.2-2512298-minus",45.1278679551993,-1.53803698285501,0.379546522787762,-4.05230160339281,5.07162264199767e-05,0.00655682787330649
"BA000022.2-3345806-minus",187.812650997237,1.27470168078683,0.315191410378715,4.04421452746833,5.24988325296348e-05,0.00655682787330649
"BA000022.2-154089-plus",832.872299493174,-0.822398740905378,0.205869774682274,-3.99475222710383,6.47619443422977e-05,0.00745555475773372
"BA000022.2-2526565-plus",974.121098944784,-1.09090695834371,0.273386898926443,-3.99034102448787,6.5978360687909e-05,0.00745555475773372
"BA000022.2-2256257-plus",39.4826613604517,1.9333843976846,0.487938036102152,3.96235639494159,7.42136463389847e-05,0.00800495376192776
"BA000022.2-881923-plus",76.3349682373441,1.35237858642749,0.345402189224328,3.91537352286196,9.02643537928246e-05,0.00931292658914664
"BA000022.2-1310519-plus",196.32308518393,-0.873046033350694,0.227169402773898,-3.84314974943891,0.000121465302071103,0.0120098817422803
"BA000022.2-1518033-plus",48.8738035253241,1.75354125209974,0.464235919160357,3.77726319684891,0.000158561144212978,0.0150506238086958
"BA000022.2-634847-minus",1079.73241040053,0.904002379787638,0.240310424493456,3.76181092307235,0.000168687552356256,0.0153959831438998
"BA000022.2-2349965-minus",110.634239805287,-1.4740882221022,0.393963041304949,-3.7416916501088,0.000182785705381071,0.0160648325507141
"BA000022.2-2375058-plus",283.312895622022,-0.931881009315574,0.254658919266419,-3.65932994610984,0.000252875584043553,0.0214312057476911
"BA000022.2-2961082-plus",323.067207692732,1.21924379577284,0.335420543522766,3.63497054464134,0.000278012398027623,0.0227490834661914
"AP006585.1-43461-plus",224.496501683272,0.998266499770262,0.276205346197598,3.614218600447,0.000301254810531814,0.0238292555130665
"BA000022.2-153165-plus",7876.4685194853,0.682053746381632,0.192168619707463,3.54924621626526,0.000386335661848138,0.028649203923926
"BA000022.2-1688214-minus",1987.27980440229,-0.838720139245038,0.236172518146856,-3.55130286040947,0.000383329040655267,0.028649203923926
"BA000022.2-1826111-minus",178.74077118023,0.903517234542323,0.257464626174933,3.50928687938837,0.000449309985721191,0.0323094726095875
