locus_tag	gene_name	gene_product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
6803r01	6803r01	5S rRNA	3612.4108793165647	-6.247834483180588	0.36858201989742284	-16.95100180122561	1.8920221226962574e-64	8.34570958321319e-61
6803r06	rrn5Sb	5S rRNA	1176.2461528029603	-5.37831481236999	0.34854840312084473	-15.430610968845215	1.0190096642199322e-53	2.2474258144370605e-50
ncr1230	ncr1230	ncr1230	58.89041467981235	-5.975632848272169	0.5176595518310835	-11.543557589413643	7.956502230477293e-31	1.169871044621178e-27
ncl1700	ncl1700	ncl1700	33.33068237952892	-4.463555020997189	0.48939530981219365	-9.120551283399276	7.474314797881153e-20	8.242300643363442e-17
ncl0570	ncl0570	ncl0570	60.95335275437217	-2.8374788535625872	0.459995881327259	-6.168487520747809	6.894629023597947e-10	6.082441724618109e-7
slr0213-as	slr0213-as	asRNA	1265.987626904975	0.8334890329028843	0.1417450425264974	5.880198827744359	4.097739578878913e-9	3.0125215470724805e-6
sll0247-as2	sll0247-as2	asRNA	3424.900630941063	1.5092978773313621	0.26159652954414303	5.769563839250689	7.947696630726107e-9	5.008184262590408e-6
sll1515	gifB	glutamine synthetase inactivating factor IF17	3560.6620298745856	-1.3122901375502614	0.22839782133614475	-5.745633342180164	9.15775561899005e-9	5.0493575044206386e-6
slr0744-as2	slr0744-as2	asRNA	207.4191582957777	1.5881690251392815	0.2830156212967266	5.611594928444505	2.0047026489649033e-8	9.825270427315764e-6
slr0376	slr0376	hypothetical protein	68088.88142781213	1.2175227815346594	0.21806996809192764	5.583174942371759	2.3616696936346905e-8	1.041732501862262e-5
slr5054	slr5054	hypothetical protein	82.75948892672984	-1.3273376757764859	0.2399575335970492	-5.5315524204604865	3.174089740847721e-8	1.272809986079936e-5
ncr1420	ncr1420	ncr1420	1278.4610424136442	-2.2084437156866343	0.4013210831793769	-5.5029347030331195	3.735207903185393e-8	1.3730001717458973e-5
ncl0820	ncl0820	ncl0820	21656.074093592393	0.8746102718196945	0.15936018950953812	5.488260741352512	4.059105956097551e-8	1.3772858747958692e-5
ncl0690	ncl0690	ncl0690	820.8648727057798	0.8943934726807178	0.1638784774048743	5.457662817253607	4.8244269843562046e-8	1.5200391019996584e-5
sll0057	grpE	heat shock protein GrpE	1443.2248418705399	-1.246583983618358	0.2310435479206242	-5.395450315914584	6.83519052435525e-8	2.0100016935287337e-5
sll0528	sll0528	hypothetical protein	422.069292183414	-0.9978525440080626	0.1954019240640967	-5.1066669316968545	3.2789095098624044e-7	9.039543655001916e-5
ssl2598	psbH	photosystem II PsbH protein	3545.420212088164	0.6622176095665712	0.1315404820107058	5.034325550918041	4.795341372811189e-7	1.2442500467923622e-4
ncl0710	ncl0710	ncl0710	322.91912309370736	-1.5780519514781626	0.3181192170122593	-4.960567822022991	7.028741474240206e-7	1.7224321468263081e-4
sll1862	sll1862	unknown protein	4742.842984427952	-1.6379210011424077	0.3316659949617401	-4.938465281408644	7.873979312247735e-7	1.8280064603328822e-4
slr1204	htrA	protease	1008.6893867642158	-1.089067996326182	0.22324404423685437	-4.878374247559849	1.0696382528597136e-6	2.3590871666820986e-4
sll1675	sll1675	hypothetical protein	454.8983748151455	0.8890133790352633	0.1832815290396266	4.850534495721351	1.231292163544798e-6	2.4687407879073203e-4
ssl3769	ssl3769	unknown protein	288.8162202475962	-1.0771085076867546	0.22172197504817837	-4.8579240170159395	1.186229111746722e-6	2.4687407879073203e-4
sll1483	sll1483	periplasmic protein;  similar to transforming gr owth factor induced protein	404.71145107442675	-1.3894205392631507	0.29385299705015455	-4.728284391212132	2.264248937936928e-6	4.342435680539039e-4
ncr1680	ncr1680	ncr1680	388.1598042044558	0.8977830195645058	0.1931223308977701	4.648778913297965	3.339058798858559e-6	6.136911817402127e-4
ssl0352	ssl0352	hypothetical protein	1225.9509592940258	0.8979086797225043	0.19350819367697983	4.640158448387819	3.4814213887488977e-6	6.142619898308555e-4
CRISPR2	CRISPR2 array	CRISPR2 array	200.28016710640546	1.8207746094902422	0.3953000687881107	4.606056900198053	4.103761426835426e-6	6.962189097604256e-4
ncr1570	ncr1570	ncr1570	1278.0903034075798	0.6379114897081387	0.1402468599649286	4.548490353849353	5.40321195493268e-6	8.827247382669649e-4
