locus_tag	gene_name	gene_product	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91216-plus	165.12737610251426	-4.931518599242628	0.41910156613642063	-11.766881819853143	5.78224744095812e-32	2.263171648391008e-28
slr0374	slr0374	hypothetical protein	TU2462	BA000022.2-2376891-plus	89.23968354471671	-4.866768303874616	0.4375422711081383	-11.122967139949312	9.699163911021163e-29	1.8981263773868416e-25
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91410-plus	207.74345923292842	-4.986603996438939	0.4742684252592668	-10.514307364469662	7.422417414953492e-26	9.683780587375989e-23
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589110-minus	68.2168437807103	-5.443449022013464	0.5191341943686439	-10.485629883490203	1.0057324875114171e-25	9.841092390299216e-23
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91362-plus	210.65076088941134	-3.8897904346445316	0.3763371359111526	-10.335919747135588	4.847394193791603e-25	3.7945401749000664e-22
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589112-minus	54.28146956022901	-6.651452860250046	0.6944854871732413	-9.577526072320678	9.939722816807852e-22	6.484012517497656e-19
slr0476	slr0476	unknown protein	TU2753	BA000022.2-2613286-plus	168.68394642560938	3.2382974975810486	0.3557416806290994	9.102946530905207	8.791370919980702e-20	4.915632254400638e-17
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91435-plus	140.18062916280667	-3.2988278140396305	0.36549422475193116	-9.02566330912237	1.7861000009058533e-19	8.738494254431887e-17
ssr0692_5'UTR	ssr0692	5'UTR of hypothetical protein	TU2842	BA000022.2-2695590-plus	52.78344628006825	-4.1868911251108685	0.4677225562183059	-8.951655355181693	3.5019082965699484e-19	1.514368787359051e-16
ssr0692_5'UTR	ssr0692	5'UTR of hypothetical protein	TU2842	BA000022.2-2695591-plus	71.54762267547554	-3.7281053834343845	0.416984011968522	-8.940643469361166	3.869107785792159e-19	1.514368787359051e-16
slr1841	slr1841	probable porin	TU971	BA000022.2-959937-plus	149.4320366144826	3.5671167890849196	0.4072796851797297	8.758396057762557	1.980482292484259e-18	7.046916084348536e-16
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91287-plus	145.05008520715228	-2.779770959699296	0.33034252148447374	-8.414814257661185	3.935179453549718e-17	1.2262973829095996e-14
slr1986	apcB	allophycocyanin beta subunit	TU1472	BA000022.2-1431349-plus	237.76359457421876	2.5631036904449145	0.30474041934870305	8.41077693573707	4.073036785341031e-17	1.2262973829095996e-14
	NA	NA	TU2928	BA000022.2-2781050-plus	84.93659949290394	-3.7469455883877965	0.4470086773660148	-8.382265889034997	5.1918387795452853e-17	1.4514897845100176e-14
	NA	NA	TU87	BA000022.2-92762-plus	39.95140536979277	-6.344400416128756	0.7656068474985407	-8.286760282849807	1.1637485527951617e-16	3.0366078904268416e-14
	NA	NA	TU905	BA000022.2-900894-plus	215.12254799686548	-2.280465068442909	0.2787967645972391	-8.179668339183776	2.8462618614744044e-16	6.962668078631761e-14
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91139-plus	63.68679151479841	-5.25948329985029	0.7102384953279898	-7.405235472939901	1.3091795722752396e-13	3.014193438756052e-11
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-92489-plus	51.046558195771325	-4.537638512497908	0.6213323465421116	-7.303077874105761	2.812582831423861e-13	6.11580511232944e-11
slr1908	slr1908	probable porin	TU599	BA000022.2-612761-plus	31.6068013088663	-4.0052838374361635	0.5502006142881036	-7.279678963315118	3.346155038299562e-13	6.893079378897098e-11
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91585-plus	53.67967855583376	-3.796050337637302	0.5287510222713111	-7.179277538473456	7.008075372012109e-13	1.3714803503027698e-10
slr1146,sml0011	NA	NA	TU807	BA000022.2-811014-minus	46.69717674503103	-2.8458327790243088	0.4132213947537304	-6.886944420485183	5.70034797010422e-12	1.0624362835708532e-9
