locus_tag	localization	sense_tags	annotation	antisense_tags	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU87	Chr	ncr0020; slr1129; slr1130	ncRNA; ribonuclease E ; ribonuclease HII	ncl0020	11268.41800475835	2.581615086032743	0.1268407425486554	20.353200668487492	4.349281717901007e-92	1.6087993074515824e-88
TU88	Chr	ncl0020	NA	ncr0020; slr1129; slr1130	633.2191229293438	4.096447832907279	0.22481557290187018	18.22137043280066	3.4929640237861308e-74	6.460236961992449e-71
TU7089	pSYSA	slr7097	hypothetical protein	NA	503.65615633918276	2.8327110824167305	0.1706664689985147	16.597935722461003	7.212916985660027e-62	8.893526643318814e-59
TU7087	pSYSA	slr7094; slr7095	slr7094; slr7095	NA	1689.6319280444038	2.1841689258053454	0.17276072616971766	12.642739899458684	1.2270236541446875e-36	1.1346901241702997e-33
TU1141	Chr	sll1270; sll1271; ssl2507; sll1272	periplasmic substrate-binding and integral membran e protein of the ABC-type Bgt permease for basic amino ac ids and glutamine BgtB ; probable porin: major outer membrane protein ; unknown protein ; unknown protein	NA	3142.8705255263126	-1.0858561571154774	0.10229196569430435	-10.615263376211944	2.530796993432994e-26	1.8722836157417287e-23
TU7088	pSYSA	slr7096	hypothetical protein 	NA	380.8138352959967	2.627090896775549	0.24805368867956207	10.590815684943303	3.28714868595223e-26	2.02652716488955e-23
TU7075	pSYSA	slr7080; slr7081; slr7082	slr7080; slr7081; slr7082	NA	1588.7397352912667	1.5938625864966574	0.1648249023672901	9.670035071186932	4.0423952647848003e-22	2.136117154919854e-19
TU441	Chr	sll1515	glutamine synthetase inactivating factor IF17	ncr0220; slr1597	3708.3566558550488	1.8282894860468475	0.20403024958090246	8.960874624239926	3.221131395909794e-19	1.489370629183791e-16
TU2231	Chr	ssl0707	nitrogen regulatory protein P-II	slr0400; slr0401; slr0402	4820.957127204848	-0.961581984274886	0.11061744833334736	-8.692859930895748	3.534279967732479e-18	1.3073301600642439e-15
TU7046	pSYSA	sll7050	hypothetical protein 	NA	939.1380654503536	1.363205556319792	0.15671251915206538	8.69876614641751	3.355121296285869e-18	1.3073301600642439e-15
TU1144	Chr	ncl0490; ssl2501; ssl2502	ncRNA; unknown protein ; unknown protein	NA	5347.994141973057	-1.5933117943855652	0.19138737738253922	-8.325062060915869	8.428457273262904e-17	2.834260313981771e-14
