locus_tag	gene_name	gene_product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
slr1129	rne	ribonuclease E	3160.255318463317	2.8081015834225505	0.14415919330226493	19.47917104068889	1.6492822058294195e-84	7.453106288143147e-81
ncl0020	ncl0020	ncl0020	552.8700516092412	4.288197486787642	0.23494204428399612	18.252150226479266	1.9892330401529983e-74	4.494672054225699e-71
ncr0020	ncr0020	ncr0020	3762.749877890716	2.601643873426179	0.1502207637899268	17.318803391682895	3.393408787596644e-67	5.111604770383078e-64
slr7097	slr7097	hypothetical protein	703.0357263152462	2.720510136113969	0.16259567265411637	16.731749939626052	7.694399135612508e-63	8.692747423458231e-60
slr1130	rhnB	ribonuclease HII	485.80360896597693	2.929277925252915	0.22978882581372567	12.747695258373806	3.2109845643854597e-37	2.902087849291578e-34
slr7094	slr7094	hypothetical protein; part of CRISPR3 system	713.163513576552	2.2460576796629215	0.19044004618122812	11.794040826505102	4.189466791242775e-32	3.155366738271017e-29
slr7096	slr7096	hypothetical protein	433.742388706949	2.5592121154381533	0.2183967853291099	11.718176673624502	1.028620537435277e-31	6.640480298100023e-29
slr7081	slr7081	UvrD helicase; part of CRISPR3 system	561.775045429143	1.9963342089006433	0.19606547833778626	10.181977091659713	2.3866230479203822e-24	1.3481436941940258e-21
sll1045	mutT	mutator MutT protein	99.73771261593997	2.603912686667391	0.27238123394092445	9.55980942223113	1.1797374458119413e-21	5.92359279736018e-19
CRISPR3	CRISPR3 array	CRISPR3 array	25361.183920932162	2.398755608888353	0.2550117267265563	9.40645216469001	5.1316620566046196e-21	2.3189980833796275e-18
sll1515	gifB	glutamine synthetase inactivating factor IF17	3560.6620298745856	1.8515323265860388	0.2064277534210176	8.969396294352752	2.9814402956692544e-19	1.2248298814663054e-16
slr7099	slr7099	hypothetical protein	173.3248710327419	2.956113613490144	0.3396917681026382	8.702341036998433	3.2510685167628886e-18	1.2242982189376244e-15
slr1452	sbpA	sulfate transport system substrate-binding prot ein	175.16515966847209	2.352003280303628	0.27651640178552694	8.505836417356178	1.8029102156114483e-17	6.267193280267796e-15
slr7080	slr7080	Csx3; accessory protein of CRISPR3	551.0162119498909	1.4321871981108587	0.17277296435158426	8.289417290985584	1.1380461904934417e-16	3.6734505248856164e-14
slr0884	gap1	glyceraldehyde 3-phosphate dehydrogenase 1 (NAD +)	359.7308974843415	-1.7853744660237028	0.21868815935080016	-8.164019813984366	3.240557138386384e-16	9.762718472245379e-14
ssl2501	ssl2501	unknown protein	3523.2746212751244	-1.5586421443921665	0.1941192179200187	-8.02930364696998	9.80274637983981e-16	2.7686631806560064e-13
ssl1911	gifA	glutamine synthetase inactivating factor IF7	10284.645482886082	1.9548954735746666	0.24422157387141916	8.00459780266548	1.1985776343624957e-15	3.1861013704024224e-13
slr7095	slr7095	putative kinase; part of CRISPR3 system	459.71600346367075	2.0966091924472217	0.2754077914397533	7.612744655794767	2.6833559681480298e-14	6.736714233367192e-12
sll2008	sll2008	processing protease	1090.6330712024364	-1.2752029498053683	0.16838616447000146	-7.573086267622361	3.6446010158107236e-14	8.668395784446662e-12
slr7098	slr7098	hypothetical protein	101.33178553003425	2.4729769212605786	0.3283572300003341	7.531361259376144	5.0214047668518153e-14	1.1345864070701677e-11
slr7102	slr7102	hypothetical protein	266.8030505295001	1.2751488524269299	0.17823124396918233	7.154463067358795	8.400105768909794e-13	1.807622760462065e-10
ssl0707	glnB	nitrogen regulatory protein P-II	3072.028493842766	-0.9353766317428993	0.1309673363587862	-7.142060438493049	9.194215251759251e-13	1.8885753964863661e-10
slr7073	slr7073	hypothetical protein; maybe part of CRISPR2 system	877.3581612241372	0.9745667451887347	0.1402720439016718	6.9476904882906565	3.713145192646911e-12	7.295523098074518e-10
sll1305	sll1305	probable hydrolase	138.97403685888003	-1.7117833323767935	0.24983276230241538	-6.8517167908696015	7.296890989534167e-12	1.3739437659043709e-9
slr1596-as	slr1596-as	asRNA	134.79702489832565	2.075782618612938	0.3054604657243534	6.795585195257699	1.078737457369619e-11	1.949925827941323e-9
