"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-2613286-plus",168.683946425609,4.11506397340809,0.351914676951808,11.693357063285,1.37828725329291e-31,6.07686849976842e-28
"BA000022.2-959937-plus",149.432036614483,4.31952185126869,0.403957755591151,10.6930038883584,1.09757470544855e-26,2.41960343816133e-23
"BA000022.2-2589112-minus",54.281469560229,-6.20743006598398,0.588001659162217,-10.5568240654768,4.72374254768635e-26,6.94232696424971e-23
"BA000022.2-1431349-plus",237.763594574219,3.16778871342294,0.302315680163958,10.4784135302043,1.0854933073118e-25,1.19648499798443e-22
"BA000022.2-2589110-minus",68.2168437807103,-4.56229019891331,0.44575748838695,-10.2349154366935,1.38315963694576e-24,1.21967016785877e-21
"BA000022.2-2781050-plus",84.9365994929039,-4.806548650777,0.472058342184393,-10.1821072127129,2.38343321138123e-24,1.75142617149664e-21
"BA000022.2-2376891-plus",89.2396835447167,-3.79825048692694,0.386293345613374,-9.83255479303145,8.1523918308008e-23,5.13484222600011e-20
"BA000022.2-900894-plus",215.122547996865,-2.74529029994878,0.280010743464483,-9.80423203046493,1.0796511695708e-22,5.95022750829705e-20
"BA000022.2-959940-plus",72.5896057632156,-3.13005351223316,0.371212585395249,-8.43197034631902,3.39893122711687e-17,1.66509864226203e-14
"BA000022.2-2377240-plus",74.3331550792483,3.24262307401364,0.41467169501352,7.81973574036183,5.29343425158552e-15,2.33387516152406e-12
"BA000022.2-3181793-minus",153.648286114066,-2.35402182988662,0.304100504858011,-7.74093364621589,9.86893962970637e-15,3.95565043885231e-12
"BA000022.2-612761-plus",31.6068013088663,-4.08468374557528,0.536221495518891,-7.61753077731919,2.58574269269493e-14,9.50044961007662e-12
"BA000022.2-92762-plus",39.9514053697928,-3.41868331563523,0.4558744819617,-7.49917674910009,6.42198846582843e-14,2.17804208814135e-11
"BA000022.2-2589111-minus",325.245534467076,-5.70588909476838,0.778538469779153,-7.32897514542468,2.31919388347342e-13,7.30380416588165e-11
"BA000022.2-2695591-plus",71.5476226754755,-2.50541460328142,0.378586504090792,-6.6178127751764,3.64552316546205e-11,1.07154077576814e-08
"BA000022.2-811014-minus",46.697176745031,-2.51290268187665,0.394891548512012,-6.36352611582978,1.9717384886782e-10,5.43337187286387e-08
"BA000022.2-1934543-minus",33.0701578792729,-2.91248606017952,0.491415348778372,-5.92672993918439,3.09026565529062e-09,8.01469486716256e-07
"BA000022.2-2377279-plus",31.5134556532068,-2.96571142848015,0.516577588380554,-5.74107645238252,9.40766034516827e-09,2.30435413676927e-06
"BA000022.2-2377076-plus",29.9403153454139,4.55316507198592,0.795508773828809,5.72358875449153,1.04297040498842e-08,2.42024027136523e-06
"BA000022.2-1329162-minus",29.2295058183061,-2.73256979781073,0.485703281671523,-5.62600645481894,1.84429447512733e-08,4.0657471704182e-06
"BA000022.2-2695590-plus",52.7834462800682,-2.12799518287267,0.383367908226141,-5.55079112573347,2.84379702317336e-08,5.9706195596054e-06
"BA000022.2-1347623-minus",29.2483154791671,-2.75662761345132,0.500617322703621,-5.50645670542111,3.66127952028272e-08,7.33753700223933e-06
"BA000022.2-900893-plus",21.7925301895836,-3.42635366451029,0.627819754818469,-5.45754356758175,4.82766719131669e-08,9.25442810718056e-06
"BA000022.2-2822702-minus",24.3468188579327,4.27495657005025,0.793657263906578,5.38640136550613,7.18823470108289e-08,1.32053861654477e-05
"BA000022.2-2376979-plus",18.7425222564603,-3.74738336129503,0.697911288061183,-5.36942649502828,7.89874221293175e-08,1.39302217667264e-05
"BA000022.2-3181815-minus",14.1323705491402,-4.01185771220254,0.761389832137714,-5.2691243603013,1.3707607669695e-07,2.32449393137251e-05
"BA000022.2-1431350-plus",63.9263259256331,2.26828509573892,0.433031691650769,5.23815032357549,1.62193931721033e-07,2.6485668331779e-05
"BA000022.2-2377049-plus",407.126145936151,1.63319732176368,0.314778312512596,5.18840484507118,2.1210309457689e-07,3.33986622853396e-05
"BA000022.2-2376892-plus",10.7959058130975,-5.54697178768327,1.07219641114674,-5.1734661019343,2.29790827505427e-07,3.4936129602463e-05
"BA000022.2-2822709-minus",97.6514445313671,1.98450387068971,0.384315812605912,5.16373202870182,2.42074181465697e-07,3.55768355360753e-05
"BA000022.2-2480555-plus",16.6135729133984,-3.18142899767735,0.619961745444965,-5.1316537206565,2.87207523312578e-07,4.08483216221019e-05
"BA000022.2-458554-minus",21.4614106596329,-2.66062137564768,0.523425770832455,-5.08309205222401,3.71339622417371e-07,5.11636373511934e-05
"BA000022.2-2480081-plus",30.8072091787778,3.53417288489996,0.697944123897711,5.06369029251676,4.11217509672745e-07,5.49411515196101e-05
"BA000022.2-3201-minus",34.087910137528,2.72535208557109,0.539809330307736,5.04873097324461,4.44754523873578e-07,5.76741969340766e-05
"BA000022.2-811016-minus",148.642559489902,-1.59461220540905,0.31671439875577,-5.03485857186655,4.78201757931418e-07,6.02397585919892e-05
"BA000022.2-320656-plus",13.6684082096195,-3.50525844512276,0.710094006368314,-4.93633013894872,7.96063078695532e-07,9.52112766373667e-05
"BA000022.2-726644-minus",24.8079951372569,5.50237202674947,1.11483118168232,4.93561008801909,7.99005950461004e-07,9.52112766373667e-05
"BA000022.2-943548-plus",24.5412201305451,3.87767373487081,0.791373973525317,4.89992578047142,9.58728656053878e-07,0.000111237753803725
"BA000022.2-2082661-plus",8.43635734980019,-6.72212318348762,1.3992415936738,-4.80411904125739,1.55434337549087e-06,0.00017572051134716
"BA000022.2-202785-plus",9.44662425282871,-4.2482795899071,0.885413971464619,-4.7980715538967,1.60200552882079e-06,0.000176581059414271
"BA000022.2-2613294-plus",103.078111455649,1.66933771540805,0.349779415405077,4.77254418609741,1.8191318128028e-06,0.000195623223479208
"BA000022.2-2263005-minus",49.7536599634923,-2.29242048576235,0.481741294475612,-4.75861320598997,1.94927558099746e-06,0.000204627524681377
"BA000022.2-2479797-plus",61.0487789770937,1.94679586574923,0.414726799470024,4.69416461206999,2.67698411067262e-06,0.000274484254510595
"BA000022.2-597150-plus",22.8205451103366,-2.89874094306414,0.618463786570951,-4.68700190052534,2.77236393528566e-06,0.000277803467969875
"BA000022.2-596948-plus",21.1409839472275,-2.70589163866514,0.579546934349051,-4.66897757246253,3.02702418245018e-06,0.000296581102676063
"BA000022.2-1716871-plus",15.6847197071377,-3.03217964729085,0.651741821728431,-4.6524245432792,3.28054798462019e-06,0.000314433392699792
"BA000022.2-1602052-plus",28.4210742905582,-2.69518646139431,0.58273031475814,-4.62510082818146,3.74416219081893e-06,0.000351234278708951
"BA000022.2-2448312-minus",10.2433175484934,-4.31041898429897,0.944554114710799,-4.56344312852707,5.03214457667117e-06,0.000453464204764049
"BA000022.2-2961377-plus",17.5331211002937,7.1443601226568,1.56567060496221,4.56313103152963,5.03963393818063e-06,0.000453464204764049
"BA000022.2-890477-plus",9.96934011691064,-4.29687243933263,0.945619244705514,-4.54397736022258,5.52025894322627e-06,0.000486776433613693
"BA000022.2-1607782-plus",21.1418138999154,-2.85870906199616,0.63522487472292,-4.50031032434476,6.78543288506473e-06,0.000585029273659206
"BA000022.2-1687439-minus",8.08264928641889,-5.18661545617644,1.15341316741105,-4.4967541577649,6.89986895674273e-06,0.000585029273659206
"BA000022.2-3181782-minus",9.45433110544363,-3.78335291228197,0.848769661099015,-4.45745540360522,8.29382843498794e-06,0.000689952633393619
"BA000022.2-2589105-minus",7.70453688188858,-5.03690176354379,1.13563472070842,-4.43531856828199,9.19362328117536e-06,0.000750469571997453
"BA000022.2-612739-plus",22.9804884480839,3.28750229928212,0.741863070271629,4.43141387005344,9.36172067585845e-06,0.000750469571997453
