names	peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	peak_7	peak_8	peak_9	peak_10	peak_11	peak_12	peak_13	peak_14	peak_15	peak_16	peak_17	peak_18	peak_19	peak_20	peak_21	peak_22	peak_23	peak_24	peak_25	peak_26	peak_27	peak_28	peak_29	peak_30	peak_31	peak_32	peak_33	peak_34	peak_35	peak_36	peak_37	peak_38	peak_39	peak_40	peak_41	peak_42	peak_43	peak_44	peak_45	peak_46	peak_47	peak_48	peak_49	peak_50	peak_51	peak_52	peak_53	peak_54	peak_55	peak_56	peak_57	peak_58	peak_59	peak_60	peak_61	peak_62	peak_63	peak_64	peak_65	peak_66	peak_67	peak_68	peak_69	peak_70	peak_71	peak_72	peak_73	peak_74	peak_75	peak_76	peak_77	peak_78	peak_79	peak_80	peak_81	peak_82	peak_83	peak_84	peak_85	peak_86	peak_87	peak_88	peak_89	peak_90	peak_91	peak_92	peak_93	peak_94	peak_95	peak_96	peak_97	peak_98	peak_99
25.5	-5.099999904632568	-12.930000305175781	-4.989999771118164	-7.869999885559082	-6.420000076293945	-13.15999984741211	-7.670000076293945	-12.010000228881836	-6.679999828338623	-16.549999237060547	-9.510000228881836	-12.359999656677246	-4.53000020980835	-8.90999984741211	-10.319999694824219	-4.28000020980835	-16.399999618530273	-11.859999656677246	-12.319999694824219	-7.769999980926514	-9.529999732971191	-12.960000038146973	-8.649999618530273	-9.399999618530273	-11.180000305175781	-11.930000305175781	-7.050000190734863	-10.220000267028809	-13.380000114440918	-8.569999694824219	-11.149999618530273	-3.0999999046325684	-10.949999809265137	-11.770000457763672	-5.71999979019165	-10.510000228881836	-13.8100004196167	-11.5	-5.360000133514404	-16.600000381469727	-9.380000114440918	-9.890000343322754	-8.369999885559082	-11.729999542236328	-17.899999618530273	-14.8100004196167	-6.039999961853027	-14.880000114440918	-1.4900000095367432	-14.420000076293945	-11.859999656677246	-1.649999976158142	-3.9200000762939453	-16.219999313354492	-0.9700000286102295	-2.2699999809265137	-9.380000114440918	-9.380000114440918	-4.369999885559082	-16.100000381469727	-9.5600004196167	-8.539999961853027	-10.680000305175781	-1.5	-10.800000190734863	-12.510000228881836	-3.619999885559082	-3.2899999618530273	-6.139999866485596	-10.4399995803833	-9.670000076293945	-6.880000114440918	-11.399999618530273	-11.369999885559082	-8.819999694824219	-10.979999542236328	-10.979999542236328	-12.869999885559082	-9.039999961853027	-6.230000019073486	-3.7100000381469727	-10.920000076293945	-8.020000457763672	-12.670000076293945	-11.199999809265137	-9.149999618530273	-4.320000171661377	0.0	-11.710000038146973	-1.809999942779541	-5.300000190734863	-8.760000228881836	-4.710000038146973	-8.520000457763672	-8.4399995803833	-3.619999885559082	-3.5999999046325684	-16.239999771118164	-9.770000457763672
26.5	-5.369999885559082	-12.1899995803833	-4.989999771118164	-6.440000057220459	-7.099999904632568	-13.15999984741211	-7.389999866485596	-12.010000228881836	-6.679999828338623	-17.190000534057617	-9.779999732971191	-12.359999656677246	-4.53000020980835	-9.489999771118164	-10.869999885559082	-4.03000020980835	-17.270000457763672	-11.859999656677246	-11.220000267028809	-8.369999885559082	-9.529999732971191	-11.65999984741211	-8.649999618530273	-7.329999923706055	-9.800000190734863	-14.260000228881836	-7.050000190734863	-10.8100004196167	-13.149999618530273	-9.050000190734863	-11.149999618530273	-3.5399999618530273	-10.949999809265137	-9.350000381469727	-5.940000057220459	-11.569999694824219	-13.40999984741211	-11.779999732971191	-6.28000020980835	-16.799999237060547	-9.75	-9.890000343322754	-8.369999885559082	-12.5600004196167	-15.350000381469727	-10.720000267028809	-6.039999961853027	-14.880000114440918	-1.4900000095367432	-11.630000114440918	-9.079999923706055	-1.649999976158142	-3.9200000762939453	-16.989999771118164	-0.9700000286102295	-3.6700000762939453	-9.380000114440918	-9.380000114440918	-4.989999771118164	-13.0	-9.470000267028809	-8.539999961853027	-10.680000305175781	-1.5	-10.75	-12.539999961853027	-3.619999885559082	-3.2899999618530273	-5.949999809265137	-10.4399995803833	-11.0	-6.880000114440918	-11.399999618530273	-11.399999618530273	-8.819999694824219	-10.880000114440918	-10.979999542236328	-12.869999885559082	-8.970000267028809	-5.03000020980835	-3.7100000381469727	-10.920000076293945	-9.760000228881836	-13.829999923706055	-11.199999809265137	-9.149999618530273	-4.320000171661377	0.0	-11.710000038146973	-1.809999942779541	-4.820000171661377	-8.359999656677246	-4.710000038146973	-9.300000190734863	-9.6899995803833	-3.8499999046325684	-3.5999999046325684	-16.040000915527344	-9.770000457763672
27.5	-5.369999885559082	-12.1899995803833	-4.989999771118164	-7.619999885559082	-6.699999809265137	-13.15999984741211	-7.389999866485596	-12.100000381469727	-6.679999828338623	-16.809999465942383	-10.369999885559082	-14.890000343322754	-4.53000020980835	-9.699999809265137	-10.59000015258789	-3.5	-16.850000381469727	-13.430000305175781	-12.8100004196167	-9.529999732971191	-9.529999732971191	-13.210000038146973	-8.649999618530273	-9.420000076293945	-7.369999885559082	-14.850000381469727	-7.050000190734863	-10.8100004196167	-12.729999542236328	-9.050000190734863	-11.050000190734863	-4.610000133514404	-10.949999809265137	-9.350000381469727	-8.300000190734863	-11.829999923706055	-13.760000228881836	-11.449999809265137	-6.28000020980835	-12.359999656677246	-9.260000228881836	-9.890000343322754	-8.369999885559082	-14.40999984741211	-12.90999984741211	-9.970000267028809	-6.039999961853027	-14.880000114440918	-1.4900000095367432	-10.569999694824219	-6.670000076293945	-2.8399999141693115	-4.800000190734863	-19.229999542236328	-0.9700000286102295	-4.829999923706055	-9.380000114440918	-9.380000114440918	-5.570000171661377	-12.710000038146973	-9.75	-8.539999961853027	-10.680000305175781	-1.5	-10.75	-13.020000457763672	-3.619999885559082	-3.2899999618530273	-2.7200000286102295	-10.4399995803833	-11.569999694824219	-6.880000114440918	-11.680000305175781	-11.399999618530273	-8.819999694824219	-10.149999618530273	-10.979999542236328	-12.869999885559082	-8.970000267028809	-5.019999980926514	-3.7100000381469727	-10.920000076293945	-10.640000343322754	-13.829999923706055	-11.960000038146973	-9.149999618530273	-4.320000171661377	0.0	-11.710000038146973	-1.9700000286102295	-4.03000020980835	-7.260000228881836	-4.710000038146973	-9.300000190734863	-10.270000457763672	-6.920000076293945	-3.5999999046325684	-15.819999694824219	-9.350000381469727
28.5	-5.369999885559082	-12.1899995803833	-4.989999771118164	-9.09000015258789	-5.860000133514404	-13.15999984741211	-7.389999866485596	-11.40999984741211	-6.679999828338623	-15.729999542236328	-10.369999885559082	-15.970000267028809	-4.53000020980835	-9.90999984741211	-10.59000015258789	-3.5	-16.510000228881836	-11.699999809265137	-13.399999618530273	-9.529999732971191	-9.529999732971191	-13.210000038146973	-8.649999618530273	-11.180000305175781	-7.059999942779541	-14.760000228881836	-7.050000190734863	-10.380000114440918	-12.729999542236328	-9.050000190734863	-10.789999961853027	-4.610000133514404	-11.199999809265137	-9.350000381469727	-11.300000190734863	-11.829999923706055	-14.359999656677246	-11.75	-7.53000020980835	-12.359999656677246	-10.170000076293945	-9.680000305175781	-8.369999885559082	-17.40999984741211	-12.329999923706055	-9.970000267028809	-6.039999961853027	-14.579999923706055	-1.4900000095367432	-9.449999809265137	-7.739999771118164	-4.449999809265137	-5.480000019073486	-20.290000915527344	-0.9700000286102295	-4.829999923706055	-9.380000114440918	-9.069999694824219	-5.849999904632568	-12.890000343322754	-9.75	-8.319999694824219	-10.680000305175781	-1.5	-11.039999961853027	-14.40999984741211	-3.9600000381469727	-3.990000009536743	-1.4900000095367432	-10.4399995803833	-10.880000114440918	-6.880000114440918	-11.229999542236328	-11.399999618530273	-8.819999694824219	-10.149999618530273	-10.979999542236328	-12.869999885559082	-8.970000267028809	-3.859999895095825	-3.7100000381469727	-10.600000381469727	-10.899999618530273	-13.829999923706055	-11.199999809265137	-9.149999618530273	-4.619999885559082	0.0	-11.710000038146973	-3.75	-3.9700000286102295	-6.840000152587891	-4.710000038146973	-9.300000190734863	-11.199999809265137	-8.09000015258789	-3.5999999046325684	-14.100000381469727	-8.180000305175781
29.5	-5.369999885559082	-12.1899995803833	-4.989999771118164	-9.270000457763672	-5.860000133514404	-13.15999984741211	-7.389999866485596	-10.930000305175781	-6.260000228881836	-14.020000457763672	-11.140000343322754	-16.030000686645508	-4.880000114440918	-9.90999984741211	-10.15999984741211	-4.159999847412109	-17.489999771118164	-12.470000267028809	-13.399999618530273	-9.529999732971191	-9.829999923706055	-13.210000038146973	-8.819999694824219	-9.800000190734863	-7.340000152587891	-12.529999732971191	-6.849999904632568	-10.319999694824219	-12.729999542236328	-9.1899995803833	-11.279999732971191	-4.610000133514404	-11.479999542236328	-9.350000381469727	-13.270000457763672	-11.829999923706055	-14.359999656677246	-9.479999542236328	-9.59000015258789	-12.270000457763672	-11.319999694824219	-9.270000457763672	-8.369999885559082	-17.899999618530273	-11.260000228881836	-11.430000305175781	-6.039999961853027	-13.579999923706055	-1.4900000095367432	-10.479999542236328	-7.71999979019165	-5.610000133514404	-5.480000019073486	-18.34000015258789	-0.9700000286102295	-4.829999923706055	-9.380000114440918	-7.03000020980835	-5.849999904632568	-12.890000343322754	-9.399999618530273	-7.230000019073486	-10.680000305175781	-1.5	-11.020000457763672	-14.489999771118164	-3.390000104904175	-4.610000133514404	-1.4900000095367432	-10.199999809265137	-10.770000457763672	-6.880000114440918	-11.229999542236328	-11.399999618530273	-8.390000343322754	-10.149999618530273	-10.979999542236328	-12.869999885559082	-8.970000267028809	-5.260000228881836	-3.7100000381469727	-9.260000228881836	-10.449999809265137	-13.829999923706055	-11.199999809265137	-9.149999618530273	-4.949999809265137	0.0	-11.710000038146973	-4.039999961853027	-6.300000190734863	-5.900000095367432	-4.710000038146973	-9.300000190734863	-11.199999809265137	-8.09000015258789	-3.5999999046325684	-14.100000381469727	-8.180000305175781
30.5	-5.369999885559082	-12.1899995803833	-4.570000171661377	-6.050000190734863	-6.409999847412109	-13.15999984741211	-7.389999866485596	-11.5600004196167	-6.929999828338623	-10.40999984741211	-11.529999732971191	-15.970000267028809	-4.880000114440918	-9.699999809265137	-9.8100004196167	-5.659999847412109	-18.489999771118164	-12.850000381469727	-13.399999618530273	-9.529999732971191	-6.25	-13.210000038146973	-9.319999694824219	-7.369999885559082	-3.5899999141693115	-11.369999885559082	-6.849999904632568	-10.319999694824219	-11.770000457763672	-8.960000038146973	-11.279999732971191	-4.610000133514404	-10.970000267028809	-9.350000381469727	-14.130000114440918	-11.829999923706055	-14.359999656677246	-9.479999542236328	-10.079999923706055	-11.199999809265137	-11.319999694824219	-8.369999885559082	-8.369999885559082	-15.350000381469727	-9.760000228881836	-11.789999961853027	-6.039999961853027	-13.479999542236328	-2.680000066757202	-9.279999732971191	-6.300000190734863	-5.610000133514404	-5.679999828338623	-16.219999313354492	-0.9700000286102295	-4.730000019073486	-9.380000114440918	-5.889999866485596	-5.849999904632568	-13.609999656677246	-9.930000305175781	-8.319999694824219	-10.680000305175781	-1.5	-10.75	-14.489999771118164	-3.200000047683716	-5.389999866485596	-1.4900000095367432	-9.510000228881836	-10.760000228881836	-8.319999694824219	-11.40999984741211	-11.399999618530273	-7.730000019073486	-10.149999618530273	-10.979999542236328	-12.869999885559082	-8.970000267028809	-5.550000190734863	-3.7100000381469727	-8.84000015258789	-8.600000381469727	-13.829999923706055	-11.199999809265137	-10.699999809265137	-5.389999866485596	0.0	-11.710000038146973	-4.039999961853027	-7.079999923706055	-5.800000190734863	-4.710000038146973	-9.300000190734863	-11.199999809265137	-8.09000015258789	-3.5999999046325684	-14.100000381469727	-8.180000305175781
31.5	-4.96999979019165	-12.75	-3.450000047683716	-5.139999866485596	-6.590000152587891	-13.15999984741211	-7.389999866485596	-12.869999885559082	-8.34000015258789	-7.25	-11.529999732971191	-16.709999084472656	-4.789999961853027	-9.699999809265137	-10.9399995803833	-6.429999828338623	-19.530000686645508	-12.850000381469727	-13.399999618530273	-9.829999923706055	-6.25	-13.119999885559082	-10.789999961853027	-7.059999942779541	-3.5899999141693115	-9.90999984741211	-6.849999904632568	-10.319999694824219	-14.130000114440918	-8.829999923706055	-11.279999732971191	-4.610000133514404	-10.479999542236328	-9.350000381469727	-14.630000114440918	-13.770000457763672	-14.359999656677246	-9.65999984741211	-10.079999923706055	-8.270000457763672	-13.25	-8.369999885559082	-8.369999885559082	-12.90999984741211	-8.489999771118164	-11.789999961853027	-6.039999961853027	-13.199999809265137	-3.2699999809265137	-11.0600004196167	-6.300000190734863	-5.610000133514404	-8.319999694824219	-16.219999313354492	-1.8200000524520874	-4.610000133514404	-9.380000114440918	-5.860000133514404	-5.849999904632568	-13.300000190734863	-9.829999923706055	-9.100000381469727	-10.680000305175781	-1.5	-10.75	-14.40999984741211	-3.200000047683716	-5.389999866485596	-1.4900000095367432	-8.619999885559082	-10.069999694824219	-9.180000305175781	-10.010000228881836	-11.399999618530273	-7.730000019073486	-10.149999618530273	-10.979999542236328	-12.869999885559082	-8.760000228881836	-5.550000190734863	-3.7100000381469727	-8.079999923706055	-8.600000381469727	-13.829999923706055	-11.199999809265137	-11.859999656677246	-4.0	0.0	-11.710000038146973	-4.039999961853027	-7.079999923706055	-5.800000190734863	-4.710000038146973	-9.300000190734863	-11.199999809265137	-8.09000015258789	-3.6600000858306885	-14.100000381469727	-8.180000305175781
32.5	-4.420000076293945	-12.1899995803833	-2.950000047683716	-5.139999866485596	-7.389999866485596	-13.15999984741211	-7.170000076293945	-9.789999961853027	-6.889999866485596	-6.75	-11.529999732971191	-18.56999969482422	-4.53000020980835	-9.84000015258789	-11.880000114440918	-6.429999828338623	-17.8700008392334	-13.119999885559082	-13.399999618530273	-6.25	-5.820000171661377	-10.569999694824219	-10.819999694824219	-7.340000152587891	-3.4100000858306885	-9.270000457763672	-6.849999904632568	-10.319999694824219	-14.390000343322754	-8.270000457763672	-10.979999542236328	-4.610000133514404	-8.40999984741211	-9.109999656677246	-14.630000114440918	-14.449999809265137	-14.359999656677246	-6.670000076293945	-10.319999694824219	-8.270000457763672	-16.479999542236328	-8.369999885559082	-8.369999885559082	-12.329999923706055	-9.380000114440918	-11.789999961853027	-5.679999828338623	-12.960000038146973	-3.559999942779541	-12.050000190734863	-7.71999979019165	-5.610000133514404	-9.489999771118164	-16.360000610351562	-1.8200000524520874	-5.090000152587891	-9.069999694824219	-5.860000133514404	-5.840000152587891	-11.829999923706055	-10.40999984741211	-9.300000190734863	-10.800000190734863	-1.5	-11.319999694824219	-14.1899995803833	-3.200000047683716	-5.389999866485596	-1.4900000095367432	-7.210000038146973	-9.510000228881836	-10.329999923706055	-10.010000228881836	-11.399999618530273	-7.909999847412109	-10.149999618530273	-10.979999542236328	-12.65999984741211	-8.350000381469727	-5.550000190734863	-3.7100000381469727	-8.079999923706055	-8.600000381469727	-13.829999923706055	-11.199999809265137	-11.859999656677246	-3.7300000190734863	0.0	-12.119999885559082	-4.039999961853027	-7.079999923706055	-5.800000190734863	-4.710000038146973	-9.300000190734863	-11.199999809265137	-8.09000015258789	-3.619999885559082	-14.380000114440918	-8.180000305175781
33.5	-4.400000095367432	-12.1899995803833	-2.059999942779541	-5.139999866485596	-8.550000190734863	-13.15999984741211	-4.440000057220459	-9.789999961853027	-7.46999979019165	-7.429999828338623	-11.529999732971191	-18.860000610351562	-5.590000152587891	-8.90999984741211	-9.920000076293945	-6.429999828338623	-17.280000686645508	-13.899999618530273	-13.399999618530273	-6.25	-8.5	-7.690000057220459	-10.819999694824219	-3.5899999141693115	-3.7699999809265137	-8.680000305175781	-6.849999904632568	-12.979999542236328	-13.119999885559082	-8.859999656677246	-10.279999732971191	-4.610000133514404	-8.40999984741211	-9.109999656677246	-16.020000457763672	-14.449999809265137	-14.180000305175781	-6.670000076293945	-11.380000114440918	-8.270000457763672	-16.860000610351562	-8.369999885559082	-8.369999885559082	-11.260000228881836	-9.670000076293945	-11.789999961853027	-5.670000076293945	-11.600000381469727	-3.559999942779541	-11.859999656677246	-9.1899995803833	-5.610000133514404	-9.489999771118164	-14.930000305175781	-1.8200000524520874	-5.760000228881836	-7.03000020980835	-5.429999828338623	-4.980000019073486	-10.069999694824219	-10.40999984741211	-9.779999732971191	-13.079999923706055	-3.5199999809265137	-12.3100004196167	-11.75	-3.200000047683716	-5.389999866485596	-1.2799999713897705	-7.309999942779541	-7.139999866485596	-7.849999904632568	-10.010000228881836	-11.399999618530273	-7.519999980926514	-10.149999618530273	-10.979999542236328	-11.989999771118164	-3.759999990463257	-5.550000190734863	-3.7100000381469727	-9.069999694824219	-8.600000381469727	-13.829999923706055	-11.199999809265137	-12.600000381469727	-3.7300000190734863	0.0	-13.1899995803833	-4.039999961853027	-7.079999923706055	-5.800000190734863	-4.710000038146973	-8.989999771118164	-11.399999618530273	-8.229999542236328	-3.8499999046325684	-12.170000076293945	-8.180000305175781
34.5	-4.400000095367432	-12.1899995803833	-2.059999942779541	-5.139999866485596	-8.550000190734863	-13.15999984741211	-2.559999942779541	-9.789999961853027	-7.46999979019165	-7.119999885559082	-13.25	-18.860000610351562	-6.400000095367432	-8.90999984741211	-9.920000076293945	-6.429999828338623	-16.790000915527344	-13.979999542236328	-13.399999618530273	-5.820000171661377	-9.970000267028809	-7.690000057220459	-10.819999694824219	-3.5899999141693115	-5.840000152587891	-8.289999961853027	-6.849999904632568	-13.5600004196167	-9.010000228881836	-8.859999656677246	-10.279999732971191	-4.730000019073486	-10.579999923706055	-9.109999656677246	-17.190000534057617	-14.449999809265137	-14.180000305175781	-6.349999904632568	-12.149999618530273	-8.270000457763672	-16.540000915527344	-8.369999885559082	-8.59000015258789	-9.760000228881836	-9.670000076293945	-11.789999961853027	-5.579999923706055	-11.050000190734863	-6.550000190734863	-9.079999923706055	-9.1899995803833	-5.610000133514404	-10.039999961853027	-14.430000305175781	-1.8200000524520874	-6.400000095367432	-5.889999866485596	-4.849999904632568	-4.78000020980835	-9.579999923706055	-10.40999984741211	-9.779999732971191	-14.149999618530273	-4.599999904632568	-11.899999618530273	-12.75	-2.7699999809265137	-5.679999828338623	-1.1399999856948853	-4.519999980926514	-7.139999866485596	-7.849999904632568	-10.010000228881836	-11.680000305175781	-7.119999885559082	-10.149999618530273	-10.880000114440918	-11.430000305175781	-1.6299999952316284	-5.550000190734863	-3.7100000381469727	-9.359999656677246	-8.600000381469727	-13.829999923706055	-11.199999809265137	-15.710000038146973	-3.7200000286102295	0.0	-13.1899995803833	-4.039999961853027	-7.079999923706055	-6.079999923706055	-4.710000038146973	-8.239999771118164	-10.100000381469727	-8.380000114440918	-6.920000076293945	-12.170000076293945	-8.180000305175781
