"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BA000022.2-1135216-plus",2691.96002238967,-4.86842181427117,0.119112259780432,-40.8725501744781,0,0
"BA000022.2-1244464-plus",1212.99169555808,-3.93879814897843,0.0968514940341059,-40.6684294161885,0,0
"BA000022.2-1518034-plus",3428.92666795032,-5.79659161506884,0.102279596985102,-56.6739778600532,0,0
"BA000022.2-1518035-plus",2885.85725938065,-6.09877921891632,0.133383817854025,-45.7235316625202,0,0
"BA000022.2-153165-plus",4029.37327803992,-4.84368745841858,0.0890252509684232,-54.4080180143115,0,0
"BA000022.2-1643636-minus",945.931533088325,-5.82859396766841,0.12873037383564,-45.2775346951935,0,0
"BA000022.2-1695781-minus",6389.02456045585,-5.42940083354804,0.10295558976521,-52.7353672193006,0,0
"BA000022.2-1831990-plus",2275.59606182211,-6.01040787424883,0.15150131342383,-39.6723152982477,0,0
"BA000022.2-1918322-plus",950.526339933665,-5.34285730056655,0.141378772908188,-37.7910855403748,0,0
"BA000022.2-1957511-plus",812.148318428886,-5.40025433636955,0.131016187140004,-41.2182223758263,0,0
"BA000022.2-1981959-plus",1242.81474479943,-5.24882425793224,0.132743424553434,-39.5411243576845,0,0
"BA000022.2-2046877-plus",15545.3577453038,-5.89162942010093,0.12095488537695,-48.7093134083832,0,0
"BA000022.2-2132496-minus",893.774158855883,-4.96598346984014,0.131541206226806,-37.75230296488,0,0
"BA000022.2-2287642-minus",3810.32779153469,-5.55937105622866,0.147651005670153,-37.6521042372587,0,0
"BA000022.2-2613630-minus",3099.58089247608,-5.5582555436651,0.104424339326077,-53.2275863992666,0,0
"BA000022.2-2749209-plus",481.540980197985,-4.79640021458041,0.123156505399799,-38.9455692901485,0,0
"BA000022.2-3182134-minus",2005.81144155522,-5.11970425105729,0.110337195020541,-46.4005293056814,0,0
"BA000022.2-3316899-minus",522.28032542998,-4.72675000000307,0.118066029749687,-40.0348009501487,0,0
"BA000022.2-3316903-minus",637.481930565359,-5.47813653707101,0.125851212909855,-43.528674936132,0,0
"BA000022.2-3316908-minus",650.341995619,-5.21775665939247,0.136742535669485,-38.1575245321184,0,0
"BA000022.2-3316922-minus",722.315066651011,-4.60250112202879,0.103876343325346,-44.3075003864306,0,0
"BA000022.2-3316954-minus",785.41819342923,-4.99229695627025,0.122400296136559,-40.7866411589435,0,0
"BA000022.2-3316958-minus",483.790914747582,-3.81821494229338,0.100778657366362,-37.8871384286551,0,0
"BA000022.2-3316967-minus",509.696603274653,-4.05642734087426,0.105664815750434,-38.3895747327567,0,0
"BA000022.2-3316971-minus",648.522810412528,-3.83307565854257,0.100902794966574,-37.9878045976065,0,0
"BA000022.2-3317166-minus",2821.54664815536,-5.03529299930892,0.0874343030681892,-57.5894451332441,0,0
"BA000022.2-3323053-plus",1123.07733599939,-5.53252981308449,0.112729231169187,-49.0780408568662,0,0
"BA000022.2-3329928-plus",15320.1910430838,7.19566324456395,0.191490168067824,37.5771942610406,0,0
"BA000022.2-348293-plus",786.974127732398,-5.6085658925451,0.139702490698227,-40.1464989243479,0,0
"BA000022.2-446081-plus",467.412671222455,-4.51124969389218,0.114845245370059,-39.2811185117488,0,0
"BA000022.2-467159-plus",27133.2700640247,-4.74837652348984,0.0928845058584513,-51.1212982144298,0,0
"BA000022.2-467160-plus",648.707068900382,-5.54038485991345,0.136672461641186,-40.5376825249474,0,0
"BA000022.2-484860-minus",23516.3599209503,-5.77596728972048,0.130634214695404,-44.2148123536252,0,0
"BA000022.2-729448-minus",1056.18244473687,-5.28375976435004,0.110313297377068,-47.8977592908799,0,0
"BA000022.2-818295-minus",848.614288255658,-4.77631192642977,0.12468159682769,-38.3080747115442,0,0
"BA000022.2-842950-minus",1288.6189084189,-4.68996180577732,0.123532025742158,-37.9655540949876,0,0
"BA000022.2-842951-minus",685.654610902062,-4.42136485322048,0.0995310166903991,-44.4219802051613,0,0
"BA000022.2-924270-minus",1274.44247596154,-6.13613970452853,0.145531567113418,-42.1636338166165,0,0
"BA000022.2-940481-minus",1410.23045105434,-5.34475751148155,0.121604945142265,-43.951810555309,0,0
"BA000022.2-941641-plus",4469.36778335342,-4.86368051057109,0.091768883091165,-52.9992340185661,0,0
"BA000022.2-957889-plus",1596.59323504858,-5.24773343253961,0.118771860426698,-44.1833058241801,0,0
"BA000022.2-986294-plus",1269.12851932101,-6.5091657174454,0.145464682414223,-44.7473957899278,0,0
"BA000022.2-555573-plus",905.118326476465,-4.12777395379882,0.110318368337303,-37.4169235460226,2.07368490991691e-306,9.61755771127278e-304
"BA000022.2-1148394-minus",423.421283685715,-6.07440168227461,0.162583832012035,-37.3616589491195,1.639714547195e-305,7.43200618516135e-303
